event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
38690,98968288660282,1789740816271673937,/odom,Odometry,1789740816267520116,,"{""lateral_speed_mps"":-0.00034982784560746993,""speed_mps"":1.8954536700769622,""x_m"":-1.6865563467116587,""y_m"":-1.9837360734141545,""yaw_rad"":-2.376610206721441,""yaw_rate_radps"":1.3385}"
38691,98968289056347,1789740816272069972,/ekf_odom,Odometry,1789740816267520116,,"{""lateral_speed_mps"":-0.00034982784560746993,""speed_mps"":1.8954536700769622,""x_m"":-1.6865563467116809,""y_m"":-1.9837360734141458,""yaw_rad"":-2.3766102067214403,""yaw_rate_radps"":1.3385}"
38695,98968290725766,1789740816273739301,/current_map_pose,PoseWithCovarianceStamped,1789740816267520116,,"{""covariance_6x6"":[0.02528637777428426,-0.0014968164962543343,0.0,0.0,0.0,0.0005069313156123973,-0.0014968164962543343,0.03808037882818149,0.0,0.0,0.0,0.0016879813122596266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005069313156123973,0.0016879813122596266,0.0,0.0,0.0,0.002524629925732234],""covariance_xx_m2"":0.02528637777428426,""covariance_yawyaw_rad2"":0.002524629925732234,""covariance_yy_m2"":0.03808037882818149,""x_m"":-1.5912941990645,""y_m"":3.4533867480781395,""yaw_rad"":2.335778773663253}"
38698,98968293449618,1789740816276463213,/amcl_pose,PoseWithCovarianceStamped,1789740816267520116,,"{""covariance_6x6"":[0.002987908451134286,-0.0014787192310243317,0.0,0.0,0.0,0.0006077672119632884,-0.0014787192310243317,0.013163731258490947,0.0,0.0,0.0,0.0017056738829844822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006077672119632884,0.0017056738829844822,0.0,0.0,0.0,0.00271493591585654],""covariance_xx_m2"":0.002987908451134286,""covariance_yawyaw_rad2"":0.00271493591585654,""covariance_yy_m2"":0.013163731258490947,""x_m"":-1.5905036800965335,""y_m"":3.451432959257064,""yaw_rad"":2.3357787736632525}"
38712,98968314142130,1789740816297155805,/odom,Odometry,1789740816292983459,,"{""lateral_speed_mps"":8.938321626908441e-05,""speed_mps"":1.8439252072448136,""x_m"":-1.7198700933656739,""y_m"":-2.016846006233446,""yaw_rad"":-2.341774340020202,""yaw_rate_radps"":1.4127}"
38713,98968314512226,1789740816297525681,/ekf_odom,Odometry,1789740816292983459,,"{""lateral_speed_mps"":8.938321626908441e-05,""speed_mps"":1.8439252072448136,""x_m"":-1.7198700933656959,""y_m"":-2.016846006233437,""yaw_rad"":-2.341774340020201,""yaw_rate_radps"":1.4127}"
38717,98968316177077,1789740816299190702,/current_map_pose,PoseWithCovarianceStamped,1789740816292983459,,"{""covariance_6x6"":[0.025298140414492944,-0.0014787192310243317,0.0,0.0,0.0,0.0006077672119632884,-0.0014787192310243317,0.03818872660491791,0.0,0.0,0.0,0.0017056738829844822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006077672119632884,0.0017056738829844822,0.0,0.0,0.0,0.00271493591585654],""covariance_xx_m2"":0.025298140414492944,""covariance_yawyaw_rad2"":0.00271493591585654,""covariance_yy_m2"":0.03818872660491791,""x_m"":-1.6236136129158254,""y_m"":3.484746705911078,""yaw_rad"":2.3706146403644923}"
38722,98968319492972,1789740816302506668,/amcl_pose,PoseWithCovarianceStamped,1789740816292983459,,"{""covariance_6x6"":[0.003033697612181272,-0.0013406126938301944,0.0,0.0,0.0,0.000690242284994026,-0.0013406126938301944,0.014573974609517943,0.0,0.0,0.0,0.00203133420317577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000690242284994026,0.00203133420317577,0.0,0.0,0.0,0.002962005021964029],""covariance_xx_m2"":0.003033697612181272,""covariance_yawyaw_rad2"":0.002962005021964029,""covariance_yy_m2"":0.014573974609517943,""x_m"":-1.621866579993,""y_m"":3.4851338210114853,""yaw_rad"":2.370614640364492}"
38734,98968339897924,1789740816322911599,/odom,Odometry,1789740816317385307,,"{""lateral_speed_mps"":-2.5437949107254276e-05,""speed_mps"":1.8567182163053528,""x_m"":-1.750538899940365,""y_m"":-2.049583906386115,""yaw_rad"":-2.305408388078279,""yaw_rate_radps"":1.4683}"
38735,98968340318835,1789740816323332250,/ekf_odom,Odometry,1789740816317385307,,"{""lateral_speed_mps"":-2.5437949107254276e-05,""speed_mps"":1.8567182163053528,""x_m"":-1.7505388999403872,""y_m"":-2.0495839063861068,""yaw_rad"":-2.3054083880782783,""yaw_rate_radps"":1.4683}"
38736,98968340676738,1789740816323690183,/current_map_pose,PoseWithCovarianceStamped,1789740816317385307,,"{""covariance_6x6"":[0.025310273684092312,-0.0013406126938301944,0.0,0.0,0.0,0.000690242284994026,-0.0013406126938301944,0.03828943264858804,0.0,0.0,0.0,0.00203133420317577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000690242284994026,0.00203133420317577,0.0,0.0,0.0,0.002962005021964029],""covariance_xx_m2"":0.025310273684092312,""covariance_yawyaw_rad2"":0.002962005021964029,""covariance_yy_m2"":0.03828943264858804,""x_m"":-1.654604480145671,""y_m"":3.515802627586176,""yaw_rad"":2.4069805923064145}"
38744,98968345375103,1789740816328388839,/amcl_pose,PoseWithCovarianceStamped,1789740816317385307,,"{""covariance_6x6"":[0.0032387055718917997,-0.00194208999093566,0.0,0.0,0.0,0.0003221104137014975,-0.00194208999093566,0.014107362061687452,0.0,0.0,0.0,0.0018493957887740897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003221104137014975,0.0018493957887740897,0.0,0.0,0.0,0.002675119971496619],""covariance_xx_m2"":0.0032387055718917997,""covariance_yawyaw_rad2"":0.002675119971496619,""covariance_yy_m2"":0.014107362061687452,""x_m"":-1.6520717425512603,""y_m"":3.5167691806022328,""yaw_rad"":2.4069805923064145}"
38756,98968364978557,1789740816347992223,/odom,Odometry,1789740816342595134,,"{""lateral_speed_mps"":0.00018877264750766232,""speed_mps"":1.8352478289383847,""x_m"":-1.7807731191301939,""y_m"":-2.0843407305126793,""yaw_rad"":-2.2681177266816754,""yaw_rate_radps"":1.6006}"
38757,98968365437180,1789740816348450665,/ekf_odom,Odometry,1789740816342595134,,"{""lateral_speed_mps"":0.00018877264750766232,""speed_mps"":1.8352478289383847,""x_m"":-1.780773119130216,""y_m"":-2.084340730512671,""yaw_rad"":-2.2681177266816746,""yaw_rate_radps"":1.6006}"
38758,98968365754166,1789740816348767621,/current_map_pose,PoseWithCovarianceStamped,1789740816342595134,,"{""covariance_6x6"":[0.02532374679347997,-0.00194208999093566,0.0,0.0,0.0,0.0003221104137014975,-0.00194208999093566,0.038389689294923014,0.0,0.0,0.0,0.0018493957887740897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003221104137014975,0.0018493957887740897,0.0,0.0,0.0,0.002675119971496619],""covariance_xx_m2"":0.02532374679347997,""covariance_yawyaw_rad2"":0.002675119971496619,""covariance_yy_m2"":0.038389689294923014,""x_m"":-1.6868285666778253,""y_m"":3.5470033997920605,""yaw_rad"":2.4442712537030187}"
38766,98968370714203,1789740816353727758,/amcl_pose,PoseWithCovarianceStamped,1789740816342595134,,"{""covariance_6x6"":[0.0031977112624762922,-0.0019171832316496413,0.0,0.0,0.0,0.00030973657340791253,-0.0019171832316496413,0.01390400817728935,0.0,0.0,0.0,0.0018425305049572988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030973657340791253,0.0018425305049572988,0.0,0.0,0.0,0.0025446731966961415],""covariance_xx_m2"":0.0031977112624762922,""covariance_yawyaw_rad2"":0.0025446731966961415,""covariance_yy_m2"":0.01390400817728935,""x_m"":-1.6848295128883208,""y_m"":3.5466912162721873,""yaw_rad"":2.4442712537030182}"
38778,98968390515510,1789740816373528974,/odom,Odometry,1789740816368119472,,"{""lateral_speed_mps"":6.319156186951336e-05,""speed_mps"":1.8482175334970004,""x_m"":-1.8104168604896287,""y_m"":-2.121367487924171,""yaw_rad"":-2.2238278255578177,""yaw_rate_radps"":1.7442}"
