event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
63862,89858647060487,1789731706630074323,/odom,Odometry,1789731706624240491,,"{""lateral_speed_mps"":0.0033357944772759995,""speed_mps"":1.0250841167277907,""x_m"":1.869589686661762,""y_m"":8.839738844715283,""yaw_rad"":-2.565638913780038,""yaw_rate_radps"":0.6388}"
63863,89858647337027,1789731706630350883,/ekf_odom,Odometry,1789731706624240491,,"{""lateral_speed_mps"":0.0033357944772759995,""speed_mps"":1.0250841167277907,""x_m"":1.869589686661805,""y_m"":8.839738844715308,""yaw_rad"":-2.5656389137800404,""yaw_rate_radps"":0.6388}"
63864,89858647553153,1789731706630566748,/current_map_pose,PoseWithCovarianceStamped,1789731706624240491,,"{""covariance_6x6"":[0.061445470227891895,-0.0019297395079209809,0.0,0.0,0.0,-0.0038850640424172578,-0.0019297395079209809,0.041978513111195284,0.0,0.0,0.0,-9.359586377801469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038850640424172578,-9.359586377801469e-05,0.0,0.0,0.0,0.012590981975221387],""covariance_xx_m2"":0.061445470227891895,""covariance_yawyaw_rad2"":0.012590981975221387,""covariance_yy_m2"":0.041978513111195284,""x_m"":-3.5318787024320866,""y_m"":4.862147959557412,""yaw_rad"":2.146750066604654}"
63873,89858651845078,1789731706634858733,/amcl_pose,PoseWithCovarianceStamped,1789731706624240491,,"{""covariance_6x6"":[0.034275775635753236,-0.0023330798988501367,0.0,0.0,0.0,-0.004290244198751639,-0.0023330798988501367,0.03325664447051292,0.0,0.0,0.0,0.00031626747768314896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004290244198751639,0.00031626747768314896,0.0,0.0,0.0,0.0122915585343687],""covariance_xx_m2"":0.034275775635753236,""covariance_yawyaw_rad2"":0.0122915585343687,""covariance_yy_m2"":0.03325664447051292,""x_m"":-3.6002636831390284,""y_m"":4.929384980196863,""yaw_rad"":2.1467500666046546}"
63885,89858669546328,1789731706652559903,/odom,Odometry,1789731706647598741,,"{""lateral_speed_mps"":0.0032368833757674825,""speed_mps"":1.0542935270786302,""x_m"":1.8486305587692997,""y_m"":8.825787202770263,""yaw_rad"":-2.5490341393508285,""yaw_rate_radps"":0.6425}"
63887,89858670939937,1789731706653953722,/ekf_odom,Odometry,1789731706647598741,,"{""lateral_speed_mps"":0.0032368833757674825,""speed_mps"":1.0542935270786302,""x_m"":1.8486305587693426,""y_m"":8.825787202770288,""yaw_rad"":-2.5490341393508307,""yaw_rate_radps"":0.6425}"
63888,89858671285426,1789731706654299131,/current_map_pose,PoseWithCovarianceStamped,1789731706647598741,,"{""covariance_6x6"":[0.06137408423750238,-0.0023330798988501367,0.0,0.0,0.0,-0.004290244198751639,-0.0023330798988501367,0.042012869993974494,0.0,0.0,0.0,0.00031626747768314896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004290244198751639,0.00031626747768314896,0.0,0.0,0.0,0.0122915585343687],""covariance_xx_m2"":0.06137408423750238,""covariance_yawyaw_rad2"":0.0122915585343687,""covariance_yy_m2"":0.042012869993974494,""x_m"":-3.61421532508405,""y_m"":4.9503441080893245,""yaw_rad"":2.1633548410338643}"
63893,89858674207737,1789731706657221513,/amcl_pose,PoseWithCovarianceStamped,1789731706647598741,,"{""covariance_6x6"":[0.029565275588195366,-0.0005022394069860272,0.0,0.0,0.0,-0.0046020246592403105,-0.0005022394069860272,0.029875454346394402,0.0,0.0,0.0,-0.00019596300338939972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046020246592403105,-0.00019596300338939972,0.0,0.0,0.0,0.013814014663802972],""covariance_xx_m2"":0.029565275588195366,""covariance_yawyaw_rad2"":0.013814014663802972,""covariance_yy_m2"":0.029875454346394402,""x_m"":-3.688030245990584,""y_m"":5.0196244580669065,""yaw_rad"":2.163354841033864}"
63908,89858694419145,1789731706677432890,/odom,Odometry,1789731706671799645,,"{""lateral_speed_mps"":0.003220822465761816,""speed_mps"":1.077477273968202,""x_m"":1.8257218232475223,""y_m"":8.809993983229043,""yaw_rad"":-2.532618655305421,""yaw_rate_radps"":0.6584}"
63909,89858694774452,1789731706677788027,/ekf_odom,Odometry,1789731706671799645,,"{""lateral_speed_mps"":0.003220822465761816,""speed_mps"":1.077477273968202,""x_m"":1.8257218232475645,""y_m"":8.809993983229068,""yaw_rad"":-2.5326186553054235,""yaw_rate_radps"":0.6584}"
