s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
4.75241211,-3.39689418,-0.11528408,-0.548852036,-0.09076783,-0.206450906,2.92651237,-2.73356367,2.41418789,-0.346972732,-0.954329975,2.99817480,1.1380960,2.5546957
4.89218894,-3.47406921,-0.23179724,-0.522207749,-0.12258237,-0.267195285,2.74082116,-2.91878174,2.55791632,-0.364571528,0.182912053,2.99939276,1.1821444,3.5813529
5.03196577,-3.55953061,-0.34237931,-0.489484826,-0.16361810,-0.345338802,2.67084287,-2.99526308,2.70887287,-0.360612979,-0.022187000,2.99966996,1.2437719,3.6880447
5.17174259,-3.65236745,-0.44685010,-0.449616589,-0.21595997,-0.433565423,2.68374622,-2.98086659,2.86333462,-0.343845616,0.669041009,2.99978127,1.3232709,3.8014457
5.31151942,-3.75166903,-0.54520133,-0.532233371,-0.27882244,-0.514573406,2.74870913,-2.91041859,3.01567662,-0.320930632,0.224333738,2.99982963,1.4230536,3.9375830
5.45129625,-3.85869775,-0.63502762,-0.890750395,-0.34188089,-0.544126952,2.83338014,-2.82343661,3.15044089,-0.299939996,0.768601931,2.99982716,1.5796882,4.3780466
5.59107307,-3.97611118,-0.71071794,-1.130333905,-0.39259256,-0.501297970,2.91231957,-2.74689752,3.25624842,-0.282736546,0.117786742,2.99979995,1.8481302,4.0837197
5.73084990,-4.10392306,-0.76697108,-1.366401151,-0.42614308,-0.397228961,2.97511813,-2.68888505,3.33382955,-0.271519176,0.885667221,2.99973606,2.2951032,3.6880297
5.87062673,-4.24000878,-0.79805763,-1.507385699,-0.44418565,-0.245852601,3.02210402,-2.64707120,3.38938332,-0.262298753,-0.025904709,2.99966115,2.8683302,2.9196147
6.01040356,-4.37956749,-0.80029313,-1.467524605,-0.45184316,-0.078938978,3.06274166,-2.61192331,3.43614961,-0.256529287,0.774588654,2.99966672,2.1155002,1.3035693
6.15018038,-4.51673132,-0.77428564,-1.477822097,-0.45166984,0.087384696,3.10318701,-2.57790207,3.48183237,-0.249144229,0.187765291,2.99966920,2.1061985,1.6646094
