bag_time,time,count
1788880405.3797312,1788880405.3797312,0
1788880405.4307663,1788880405.4307663,0
1788880405.478977,1788880405.478977,0
1788880405.5308979,1788880405.5308979,0
1788880405.5799115,1788880405.5799115,0
1788880405.630082,1788880405.630082,0
1788880405.6819253,1788880405.6819253,0
1788880405.731067,1788880405.731067,0
1788880405.7799795,1788880405.7799795,0
1788880405.8297832,1788880405.8297832,0
1788880405.8792515,1788880405.8792515,0
1788880405.9296541,1788880405.9296541,0
1788880405.9811542,1788880405.9811542,0
1788880406.029624,1788880406.029624,0
1788880406.0788388,1788880406.0788388,0
1788880406.129921,1788880406.129921,0
1788880406.1805856,1788880406.1805856,0
1788880406.2288122,1788880406.2288122,0
1788880406.280781,1788880406.280781,0
1788880406.331727,1788880406.331727,0
1788880406.3798206,1788880406.3798206,0
1788880406.4307954,1788880406.4307954,0
1788880406.4795961,1788880406.4795961,0
1788880406.5300584,1788880406.5300584,0
1788880406.5830894,1788880406.5830894,0
1788880406.650338,1788880406.650338,0
1788880406.703775,1788880406.703775,0
1788880406.7561333,1788880406.7561333,0
1788880406.8065784,1788880406.8065784,0
1788880406.8570335,1788880406.8570335,0
1788880406.9080412,1788880406.9080412,0
1788880406.9574435,1788880406.9574435,0
1788880407.0072727,1788880407.0072727,0
1788880407.0566895,1788880407.0566895,0
1788880407.1061165,1788880407.1061165,0
1788880407.154974,1788880407.154974,0
1788880407.205495,1788880407.205495,0
1788880407.2538574,1788880407.2538574,0
1788880407.3038907,1788880407.3038907,0
1788880407.3548799,1788880407.3548799,0
1788880407.4062326,1788880407.4062326,0
1788880407.455982,1788880407.455982,0
1788880407.5061595,1788880407.5061595,0
1788880407.5550373,1788880407.5550373,0
1788880407.6064677,1788880407.6064677,0
1788880407.656296,1788880407.656296,0
1788880407.705813,1788880407.705813,0
1788880407.7566204,1788880407.7566204,0
1788880407.8061702,1788880407.8061702,0
1788880407.8560073,1788880407.8560073,0
1788880407.9068985,1788880407.9068985,0
1788880407.957027,1788880407.957027,0
1788880408.006877,1788880408.006877,0
1788880408.0578806,1788880408.0578806,0
