bag_time,time,count
1788880915.1752193,1788880915.1752193,0
1788880915.2437916,1788880915.2437916,0
1788880915.2959824,1788880915.2959824,0
1788880915.3470798,1788880915.3470798,0
1788880915.3999991,1788880915.3999991,0
1788880915.4507174,1788880915.4507174,0
1788880915.5198562,1788880915.5198562,0
1788880915.56918,1788880915.56918,0
1788880915.6206825,1788880915.6206825,0
1788880915.6721835,1788880915.6721835,0
1788880915.7245066,1788880915.7245066,0
1788880915.7762399,1788880915.7762399,0
1788880915.8459506,1788880915.8459506,0
1788880915.8984325,1788880915.8984325,0
1788880915.9491045,1788880915.9491045,0
1788880915.9986413,1788880915.9986413,0
1788880916.0487075,1788880916.0487075,0
1788880916.1033883,1788880916.1033883,0
1788880916.1550722,1788880916.1550722,0
1788880916.2206388,1788880916.2206388,0
1788880916.2713838,1788880916.2713838,0
1788880916.3214326,1788880916.3214326,0
1788880916.3721318,1788880916.3721318,0
1788880916.4238138,1788880916.4238138,0
1788880916.4734995,1788880916.4734995,0
1788880916.5235999,1788880916.5235999,0
1788880916.5735047,1788880916.5735047,0
1788880916.624338,1788880916.624338,0
1788880916.6760788,1788880916.6760788,0
1788880916.7453225,1788880916.7453225,0
1788880916.796309,1788880916.796309,0
1788880916.8501856,1788880916.8501856,0
1788880916.902498,1788880916.902498,0
1788880916.9683955,1788880916.9683955,0
1788880917.0228536,1788880917.0228536,0
1788880917.0727983,1788880917.0727983,0
1788880917.1231232,1788880917.1231232,0
1788880917.1761649,1788880917.1761649,0
1788880917.2449136,1788880917.2449136,0
1788880917.2949238,1788880917.2949238,0
1788880917.344795,1788880917.344795,0
1788880917.3984668,1788880917.3984668,0
1788880917.4491951,1788880917.4491951,0
1788880917.499948,1788880917.499948,0
1788880917.5707068,1788880917.5707068,0
1788880917.6217647,1788880917.6217647,0
1788880917.672662,1788880917.672662,0
1788880917.7231762,1788880917.7231762,0
1788880917.7729654,1788880917.7729654,0
1788880917.8242593,1788880917.8242593,0
1788880917.874813,1788880917.874813,0
1788880917.946811,1788880917.946811,0
1788880917.9979596,1788880917.9979596,0
1788880918.048497,1788880918.048497,0
1788880918.1033497,1788880918.1033497,0
1788880918.1710508,1788880918.1710508,0
1788880918.2233744,1788880918.2233744,0
1788880918.2752657,1788880918.2752657,0
1788880918.344165,1788880918.344165,0
1788880918.3987796,1788880918.3987796,0
1788880918.4530687,1788880918.4530687,0
1788880918.521435,1788880918.521435,0
1788880918.5732849,1788880918.5732849,0
1788880918.626504,1788880918.626504,0
1788880918.6982434,1788880918.6982434,0
1788880918.7494397,1788880918.7494397,0
1788880918.8190746,1788880918.8190746,0
1788880918.8720706,1788880918.8720706,0
1788880918.9235468,1788880918.9235468,0
1788880918.9745896,1788880918.9745896,0
1788880919.024817,1788880919.024817,0
1788880919.0984473,1788880919.0984473,0
1788880919.1519637,1788880919.1519637,0
1788880919.2020695,1788880919.2020695,0
1788880919.2707613,1788880919.2707613,0
1788880919.3208325,1788880919.3208325,0
1788880919.3725436,1788880919.3725436,0
1788880919.423901,1788880919.423901,0
1788880919.4736867,1788880919.4736867,0
1788880919.5249975,1788880919.5249975,0
1788880919.5980208,1788880919.5980208,0
1788880919.651264,1788880919.651264,0
1788880919.7030263,1788880919.7030263,0
1788880919.7700524,1788880919.7700524,0
1788880919.8197083,1788880919.8197083,0
1788880919.8700814,1788880919.8700814,0
1788880919.922563,1788880919.922563,0
1788880919.9735703,1788880919.9735703,0
1788880920.0237405,1788880920.0237405,0
1788880920.073685,1788880920.073685,0
1788880920.1245453,1788880920.1245453,0
1788880920.175253,1788880920.175253,0
1788880920.2438607,1788880920.2438607,0
1788880920.293515,1788880920.293515,0
1788880920.3423564,1788880920.3423564,0
1788880920.3942137,1788880920.3942137,0
1788880920.4463043,1788880920.4463043,0
1788880920.496744,1788880920.496744,0
1788880920.547811,1788880920.547811,0
1788880920.6006193,1788880920.6006193,0
1788880920.6520529,1788880920.6520529,0
1788880920.7200582,1788880920.7200582,0
1788880920.7698705,1788880920.7698705,0
1788880920.8203423,1788880920.8203423,0
1788880920.8701317,1788880920.8701317,0
1788880920.9213932,1788880920.9213932,0
1788880920.9723709,1788880920.9723709,0
1788880921.022988,1788880921.022988,0
1788880921.0752537,1788880921.0752537,0
1788880921.126925,1788880921.126925,0
1788880921.1953712,1788880921.1953712,0
1788880921.2477276,1788880921.2477276,0
1788880921.298272,1788880921.298272,0
1788880921.3500268,1788880921.3500268,0
1788880921.401796,1788880921.401796,0
1788880921.469892,1788880921.469892,0
1788880921.5205517,1788880921.5205517,0
1788880921.5723855,1788880921.5723855,0
1788880921.628212,1788880921.628212,0
1788880921.697271,1788880921.697271,0
1788880921.7481587,1788880921.7481587,0
1788880921.7980669,1788880921.7980669,0
1788880921.8495932,1788880921.8495932,0
1788880921.9015405,1788880921.9015405,0
1788880921.96897,1788880921.96897,0
1788880922.0201364,1788880922.0201364,0
1788880922.0720184,1788880922.0720184,0
1788880922.1237261,1788880922.1237261,0
1788880922.1733832,1788880922.1733832,0
1788880922.223962,1788880922.223962,0
1788880922.2742267,1788880922.2742267,0
1788880922.3241577,1788880922.3241577,0
1788880922.374289,1788880922.374289,0
1788880922.4234731,1788880922.4234731,0
