bag_time,time,status,level,closest_point_dist_m,command_speed_mps,command_steering_rad,drivable_gap_count,emergency_stop,forward_clearance_m,gap_0_deepest_angle,gap_0_end_angle,gap_0_max_clearance,gap_0_mean_clearance,gap_0_score,gap_0_start_angle,gap_0_weighted_center,gap_0_width,gap_1_deepest_angle,gap_1_end_angle,gap_1_max_clearance,gap_1_mean_clearance,gap_1_score,gap_1_start_angle,gap_1_weighted_center,gap_1_width,no_path,rate_limited_steering,raw_steering,raw_target_angle,selected_gap_deepest_angle,selected_gap_end_angle,selected_gap_max_clearance,selected_gap_mean_clearance,selected_gap_score,selected_gap_start_angle,selected_gap_weighted_center,selected_gap_width,smoothed_target_angle,source_stamp_s,trajectory_collision_free,trajectory_free_distance_m,trajectory_min_clearance_m
1788888589.348365,1788888589.3482962,gap_selected,b'\x00',0.856750,0.330000,0.000000,2.000000,0.000000,1.500000,-0.388331,-0.388331,7.488620,1.738237,19.245222,-1.431165,-0.659231,1.042834,-0.143985,1.391905,8.167267,1.723313,35.770775,-0.143985,0.165786,1.535890,0.000000,0.000000,0.000000,0.010900,-0.143985,1.391905,8.167267,1.723313,35.770775,-0.143985,0.165786,1.535890,0.010900,1788888203.681552,1.000000,1.500000,0.437348
1788888589.3541288,1788888589.354068,gap_selected,b'\x00',0.853033,0.330000,0.000000,2.000000,0.000000,1.500000,-0.392695,-0.392695,7.383859,1.733465,18.744001,-1.431165,-0.665507,1.038471,-0.143985,1.391905,8.046600,1.708120,34.975344,-0.143985,0.167395,1.535890,0.000000,0.000000,0.000000,0.011705,-0.143985,1.391905,8.046600,1.708120,34.975344,-0.143985,0.167395,1.535890,0.011705,1788888203.730736,1.000000,1.500000,0.431177
1788888589.3598537,1788888589.359797,gap_selected,b'\x00',0.846284,0.330000,0.000000,2.000000,0.000000,1.500000,-0.392695,-0.392695,7.475655,1.756155,19.101067,-1.431165,-0.662132,1.038471,-0.148348,1.391905,8.183410,1.709814,36.013280,-0.148348,0.160573,1.540253,0.000000,0.000000,0.000000,0.006112,-0.148348,1.391905,8.183410,1.709814,36.013280,-0.148348,0.160573,1.540253,0.006112,1788888203.830779,1.000000,1.500000,0.424065
1788888589.365554,1788888589.3654678,gap_selected,b'\x00',0.843013,0.330000,0.000000,2.000000,0.000000,1.500000,-0.392695,-0.392695,7.505148,1.764973,19.216405,-1.431165,-0.660993,1.038471,-0.148348,1.391905,8.153323,1.703325,35.814565,-0.148348,0.160653,1.540253,0.000000,0.000000,0.000000,0.006152,-0.148348,1.391905,8.153323,1.703325,35.814565,-0.148348,0.160653,1.540253,0.006152,1788888203.880861,1.000000,1.500000,0.421182
1788888589.3712997,1788888589.3711894,gap_selected,b'\x00',0.839738,0.330000,0.000000,2.000000,0.000000,1.500000,-0.392695,-0.392695,7.534551,1.774039,19.331453,-1.431165,-0.659952,1.038471,-0.148348,1.387541,8.123331,1.699321,35.518534,-0.148348,0.160004,1.535890,0.000000,0.000000,0.000000,0.005828,-0.148348,1.387541,8.123331,1.699321,35.518534,-0.148348,0.160004,1.535890,0.005828,1788888203.930426,1.000000,1.500000,0.418231
1788888589.377176,1788888589.37712,gap_selected,b'\x00',0.836463,0.330000,0.000000,2.000000,0.000000,1.500000,-0.392695,-0.392695,7.564165,1.779124,19.526983,-1.435529,-0.660084,1.042834,-0.148348,1.387541,8.093116,1.692956,35.320387,-0.148348,0.160050,1.535890,0.000000,0.000000,0.000000,0.005851,-0.148348,1.387541,8.093116,1.692956,35.320387,-0.148348,0.160050,1.535890,0.005851,1788888203.981375,1.000000,1.500000,0.415261
1788888589.382851,1788888589.3827841,gap_selected,b'\x00',0.833187,0.330000,0.000000,2.000000,0.000000,1.500000,-0.392695,-0.392695,7.593603,1.788035,19.643135,-1.435529,-0.659041,1.042834,-0.148348,1.387541,8.063084,1.686305,35.123371,-0.148348,0.160222,1.535890,0.000000,0.000000,0.000000,0.005937,-0.148348,1.387541,8.063084,1.686305,35.123371,-0.148348,0.160222,1.535890,0.005937,1788888204.030873,1.000000,1.500000,0.412367
1788888589.3885424,1788888589.3884678,gap_selected,b'\x00',0.829912,0.330000,0.000000,2.000000,0.000000,1.500000,-0.392695,-0.392695,7.623133,1.797138,19.759831,-1.435529,-0.658027,1.042834,-0.152712,1.387541,8.270650,1.698225,36.634608,-0.152712,0.152482,1.540253,0.000000,0.000000,0.000000,-0.000115,-0.152712,1.387541,8.270650,1.698225,36.634608,-0.152712,0.152482,1.540253,-0.000115,1788888204.080676,1.000000,1.500000,0.409433
1788888589.3942144,1788888589.394164,gap_selected,b'\x00',0.826636,0.330000,0.000000,2.000000,0.000000,1.500000,-0.392695,-0.392695,7.652700,1.805698,19.876903,-1.435529,-0.657022,1.042834,-0.152712,1.387541,8.239595,1.692029,36.428617,-0.152712,0.152523,1.540253,0.000000,0.000000,0.000000,-0.000094,-0.152712,1.387541,8.239595,1.692029,36.428617,-0.152712,0.152523,1.540253,-0.000094,1788888204.130148,1.000000,1.500000,0.406453
1788888589.399934,1788888589.399846,gap_selected,b'\x00',0.820085,0.330000,0.000000,2.000000,0.000000,1.500000,-0.397058,-0.397058,7.487385,1.798027,19.133497,-1.435529,-0.664324,1.038471,-0.152712,1.383178,8.177600,1.680888,35.915116,-0.152712,0.152216,1.535890,0.000000,0.000000,0.000000,-0.000248,-0.152712,1.383178,8.177600,1.680888,35.915116,-0.152712,0.152216,1.535890,-0.000248,1788888204.231472,1.000000,1.500000,0.400635
1788888589.4058952,1788888589.405794,gap_selected,b'\x00',0.816809,0.330000,0.000000,2.000000,0.000000,1.500000,-0.397058,-0.397058,7.516072,1.807801,19.246255,-1.435529,-0.662925,1.038471,-0.152712,1.383178,8.146571,1.674475,35.711291,-0.152712,0.152326,1.535890,0.000000,0.000000,0.000000,-0.000193,-0.152712,1.383178,8.146571,1.674475,35.711291,-0.152712,0.152326,1.535890,-0.000193,1788888204.280762,1.000000,1.500000,0.397644
1788888589.4117105,1788888589.4116068,gap_selected,b'\x00',0.813533,0.330000,0.000000,2.000000,0.000000,1.500000,-0.397058,-0.397058,7.544704,1.815737,19.357920,-1.435529,-0.662108,1.038471,-0.152712,1.383178,8.115601,1.667594,35.508537,-0.152712,0.152521,1.535890,0.000000,0.000000,0.000000,-0.000096,-0.152712,1.383178,8.115601,1.667594,35.508537,-0.152712,0.152521,1.535890,-0.000096,1788888204.330694,1.000000,1.500000,0.394732
1788888589.4174225,1788888589.4173555,gap_selected,b'\x00',0.810258,0.330000,0.000000,2.000000,0.000000,1.500000,-0.397058,-0.397058,7.573292,1.824854,19.469943,-1.435529,-0.661135,1.038471,-0.157075,1.383178,8.331336,1.680100,36.993478,-0.157075,0.144667,1.540253,0.000000,0.000000,0.000000,-0.006204,-0.157075,1.383178,8.331336,1.680100,36.993478,-0.157075,0.144667,1.540253,-0.006204,1788888204.380600,1.000000,1.500000,0.391842
1788888589.4231591,1788888589.423088,gap_selected,b'\x00',0.806983,0.330000,0.000000,2.000000,0.000000,1.500000,-0.397058,-0.397058,7.601915,1.833243,19.582243,-1.435529,-0.660207,1.038471,-0.157075,1.383178,8.299433,1.673465,36.781700,-0.157075,0.144804,1.540253,0.000000,0.000000,0.000000,-0.006136,-0.157075,1.383178,8.299433,1.673465,36.781700,-0.157075,0.144804,1.540253,-0.006136,1788888204.430316,1.000000,1.500000,0.388842
1788888589.429054,1788888589.4289484,gap_selected,b'\x00',0.803706,0.330000,0.000000,2.000000,0.000000,1.500000,-0.397058,-0.397058,7.630593,1.841585,19.694765,-1.435529,-0.659390,1.038471,-0.157075,1.383178,8.267468,1.666958,36.569759,-0.157075,0.144900,1.540253,0.000000,0.000000,0.000000,-0.006088,-0.157075,1.383178,8.267468,1.666958,36.569759,-0.157075,0.144900,1.540253,-0.006088,1788888204.480521,1.000000,1.500000,0.385921
1788888589.4348018,1788888589.4347525,gap_selected,b'\x00',0.797153,0.330000,0.000000,2.000000,0.000000,1.500000,-0.397058,-0.397058,7.687918,1.859549,19.920929,-1.435529,-0.657476,1.038471,-0.157075,1.378815,8.203571,1.655988,36.043303,-0.157075,0.144644,1.535890,0.000000,0.000000,0.000000,-0.006215,-0.157075,1.378815,8.203571,1.655988,36.043303,-0.157075,0.144644,1.535890,-0.006215,1788888204.580080,1.000000,1.500000,0.380033
