# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
62.155406,-13.273233,43.023295,-2.189903,-0.104981,5.369440,0.965941,0.956340,1.333080
62.529080,-13.490078,42.718976,-2.220083,-0.066393,5.432030,1.738386,0.956340,1.333080
62.899314,-13.713929,42.424079,-2.236441,-0.031962,5.542892,2.629276,0.927360,1.333080
63.262247,-13.938064,42.138625,-2.242465,-0.012919,5.706478,3.301938,0.985320,1.304100
63.619432,-14.160338,41.859026,-2.245485,-0.015813,5.905500,3.714130,0.956340,1.304100
63.970901,-14.379884,41.584564,-2.253543,-0.031622,6.121640,3.536087,0.956340,1.333080
64.319960,-14.600114,41.313749,-2.267637,-0.048027,6.320553,3.287571,0.985320,1.304100
64.666543,-14.822551,41.047963,-2.287160,-0.059414,6.500029,2.978527,0.985320,1.304100
65.013444,-15.050342,40.786331,-2.309245,-0.067457,6.658458,2.920371,1.014300,1.333080
65.358165,-15.282388,40.531405,-2.334433,-0.077557,6.810216,2.903225,0.985320,1.304100
65.701003,-15.519479,40.283764,-2.363467,-0.086592,6.957803,2.973291,1.014300,1.304100
66.044371,-15.764036,40.042738,-2.395047,-0.095391,7.105776,3.004676,1.043280,1.304100
66.385860,-16.014702,39.810831,-2.430280,-0.105510,7.252243,3.042783,1.014300,1.304100
66.726957,-16.273085,39.588153,-2.468814,-0.112748,7.397614,3.093377,1.043280,1.304100
67.069402,-16.540909,39.374755,-2.509218,-0.116589,7.542530,3.132854,1.101240,1.275120
67.411799,-16.817095,39.172377,-2.550456,-0.115553,7.686511,3.179468,1.101240,1.217160
67.755417,-17.102404,38.980876,-2.589995,-0.105213,7.829929,3.229116,1.130220,1.188180
68.101871,-17.397475,38.799318,-2.624105,-0.089394,7.972945,3.266578,1.188180,1.159200
68.449147,-17.699281,38.627521,-2.652608,-0.073257,8.115057,3.308197,1.217160,1.101240
68.797213,-18.006557,38.464024,-2.675319,-0.055074,8.256486,3.352005,1.246140,1.043280
69.147535,-18.319481,38.306533,-2.691142,-0.038160,8.397360,3.377913,1.304100,1.014300
