# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
58.897222,-12.637248,45.293683,-1.495025,-0.206924,5.392217,3.839357,1.535940,0.898380
59.240354,-12.622607,44.950864,-1.564803,-0.213749,5.635786,2.366889,1.391040,1.014300
59.586971,-12.633117,44.604406,-1.642458,-0.231829,5.780831,-0.675970,1.304100,1.130220
59.929457,-12.671904,44.264124,-1.724557,-0.232292,5.739781,-0.381938,1.101240,1.275120
60.278968,-12.739016,43.921116,-1.803204,-0.219800,5.716456,-0.101646,1.014300,1.333080
60.634628,-12.834197,43.578429,-1.879554,-0.208411,5.710233,-0.098184,0.898380,1.449000
60.989261,-12.954701,43.244898,-1.951236,-0.190404,5.704215,-0.098184,0.782460,1.477980
61.348880,-13.099271,42.915618,-2.015550,-0.170680,5.698191,-0.035401,0.724500,1.564920
61.710480,-13.264847,42.594153,-2.074334,-0.153469,5.696017,0.100253,0.666540,1.535940
62.070547,-13.447359,42.283770,-2.126303,-0.133839,5.702171,0.508431,0.637560,1.593900
62.430404,-13.644407,41.982657,-2.170688,-0.114471,5.733276,0.900236,0.608580,1.593900
62.786446,-13.851436,41.692994,-2.208253,-0.098018,5.787942,1.482009,0.579600,1.593900
63.139314,-14.066256,41.413051,-2.240174,-0.085999,5.876829,2.036392,0.579600,1.651860
63.489346,-14.287536,41.141836,-2.268701,-0.078938,5.996816,2.581906,0.579600,1.651860
63.839082,-14.515896,40.876944,-2.295412,-0.076079,6.145580,2.607661,0.579600,1.622880
64.187292,-14.750128,40.619291,-2.321800,-0.076287,6.292258,2.562943,0.608580,1.622880
64.534832,-14.990615,40.368393,-2.348489,-0.077694,6.433163,2.551962,0.637560,1.593900
64.881343,-15.237056,40.124801,-2.375724,-0.080796,6.570463,2.587461,0.666540,1.564920
65.225251,-15.488208,39.889865,-2.404272,-0.084878,6.706804,2.677686,0.695520,1.535940
65.569964,-15.746768,39.661887,-2.434173,-0.089313,6.845040,2.721107,0.695520,1.564920
65.912623,-16.010578,39.443211,-2.465663,-0.095340,6.982715,2.773090,0.753480,1.506960
66.253949,-16.280293,39.234026,-2.499384,-0.101100,7.120281,2.836824,0.782460,1.477980
66.596438,-16.558078,39.033692,-2.534797,-0.105669,7.258312,2.884114,0.782460,1.477980
66.937996,-16.842131,38.844021,-2.571667,-0.109826,7.396003,2.938178,0.840420,1.420020
67.280020,-17.133511,38.664917,-2.609872,-0.111519,7.533689,2.994561,0.898380,1.391040
67.624498,-17.433741,38.496018,-2.648225,-0.109200,7.671474,3.040661,0.956340,1.362060
67.969791,-17.740912,38.338304,-2.685195,-0.102130,7.808893,3.092932,0.956340,1.304100
68.316438,-18.054759,38.191117,-2.718893,-0.089708,7.946236,3.148142,1.043280,1.217160
68.665863,-18.375640,38.052794,-2.747638,-0.075102,8.083635,3.189759,1.072260,1.217160
69.015386,-18.700112,37.922853,-2.771385,-0.062981,8.220509,3.235132,1.101240,1.159200
69.364631,-19.027031,37.799988,-2.791648,-0.055666,8.357040,3.282567,1.217160,1.101240
69.714691,-19.357003,37.683110,-2.810313,-0.052227,8.493330,3.316503,1.246140,1.014300
70.064650,-19.688960,37.572314,-2.828208,-0.050138,8.628844,3.344813,1.275120,0.956340
70.414224,-20.022440,37.467466,-2.845386,-0.048248,8.763391,3.370705,1.333080,0.927360
70.763676,-20.357520,37.368280,-2.861934,-0.046497,8.896923,3.390656,1.420020,0.840420
71.113769,-20.694785,37.274379,-2.877913,-0.044983,9.029252,3.389327,1.477980,0.840420
71.463554,-21.033188,37.185873,-2.893417,-0.043250,9.159619,3.381787,1.506960,0.753480
71.813193,-21.372761,37.102580,-2.908163,-0.040730,9.287872,3.366423,1.535940,0.695520
72.162941,-21.713590,37.024098,-2.921903,-0.036722,9.413808,3.339196,1.622880,0.666540
72.512940,-22.055674,36.950090,-2.933859,-0.030101,9.537082,3.292650,1.593900,0.608580
72.863071,-22.398658,36.879703,-2.942978,-0.023147,9.657097,3.238438,1.651860,0.579600
73.213638,-22.742592,36.811835,-2.950078,-0.019613,9.773699,3.176241,1.709820,0.579600
73.564727,-23.087482,36.746147,-2.956739,-0.019820,9.886726,3.104048,1.680840,0.550620
73.916103,-23.433086,36.682721,-2.964001,-0.022474,9.995949,3.018672,1.738800,0.521640
74.267766,-23.779458,36.621950,-2.972539,-0.026460,10.101035,2.929257,1.738800,0.521640
74.619669,-24.126615,36.564347,-2.982617,-0.031063,10.201973,2.836206,1.738800,0.521640
74.971613,-24.474419,36.510528,-2.994403,-0.036154,10.298763,2.738691,1.738800,0.521640
75.323171,-24.822496,36.461175,-3.008052,-0.041557,10.391369,2.636778,1.738800,0.521640
75.674630,-25.171159,36.416927,-3.023618,-0.046904,10.479756,2.535743,1.680840,0.550620
76.025978,-25.520394,36.378456,-3.041016,-0.051969,10.564058,2.435845,1.709820,0.550620
76.376885,-25.869835,36.346419,-3.060113,-0.056650,10.644411,2.336810,1.738800,0.521640
76.727231,-26.219286,36.321385,-3.080742,-0.060668,10.720931,2.240515,1.767780,0.550620
77.077485,-26.569099,36.303816,-3.102618,-0.063689,10.793788,2.148284,1.738800,0.492660
77.427749,-26.919227,36.294091,-3.125358,-0.065645,10.863187,2.062481,1.796760,0.492660
77.777466,-27.268941,36.292453,3.134617,-0.066242,10.929400,2.008498,1.796760,0.434700
78.127215,-27.618630,36.298970,3.111493,-0.065112,10.993496,2.042540,1.796760,0.492660
78.477309,-27.968421,36.313513,3.089049,-0.061944,11.058298,2.125253,1.738800,0.492660
78.827616,-28.318022,36.335752,3.068108,-0.056117,11.125323,2.234215,1.767780,0.463680
79.177824,-28.667010,36.364942,3.049738,-0.047836,11.195352,2.352097,1.738800,0.492660
79.528657,-29.016083,36.400053,3.034573,-0.038537,11.268606,2.475071,1.738800,0.521640
79.880125,-29.365278,36.439957,3.022674,-0.028546,11.345179,2.603331,1.709820,0.550620
80.231421,-29.713874,36.483427,3.014511,-0.017885,11.425166,2.743652,1.709820,0.550620
80.583162,-30.062643,36.529059,3.010100,-0.009286,11.508862,2.891246,1.680840,0.550620
80.935345,-30.411720,36.575721,3.007975,-0.004383,11.596408,3.045540,1.680840,0.579600
81.287314,-30.760518,36.622867,3.007014,-0.001580,11.687916,3.211712,1.709820,0.521640
81.639129,-31.109141,36.670150,3.006863,0.000181,11.783648,3.388798,1.709820,0.550620
81.990988,-31.457815,36.717386,3.007141,0.000412,11.883821,3.574090,1.709820,0.550620
82.342445,-31.806109,36.764427,3.007153,-0.001324,11.988566,-4.146506,1.738800,0.492660
82.693324,-32.153813,36.811524,3.006211,-0.005696,11.866960,-4.954830,1.738800,0.521640
