# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
47.978648,1.050951,-4.756882,-0.175866,0.002804,8.266758,8.790469,0.360000,1.320000
47.998647,1.070659,-4.760384,-0.175810,0.002820,8.287997,8.789337,0.360000,1.310000
48.018647,1.090359,-4.763883,-0.175753,0.002809,8.309179,8.788267,0.360000,0.660000
48.038646,1.110044,-4.767378,-0.175697,0.002799,8.330305,8.787198,0.350000,1.310000
48.058646,1.129716,-4.770870,-0.175641,0.002788,8.351375,8.786128,0.350000,1.300000
48.078645,1.149425,-4.774367,-0.175586,0.002744,8.372389,8.785142,0.350000,1.320000
48.098645,1.169125,-4.777862,-0.175532,0.002696,8.393348,8.784165,0.360000,1.320000
48.118644,1.188811,-4.781352,-0.175478,0.002648,8.414253,8.783189,0.360000,1.310000
48.138644,1.208484,-4.784840,-0.175426,0.002599,8.435103,8.782213,0.370000,1.310000
48.158643,1.228194,-4.788333,-0.175374,0.002594,8.455900,8.781135,0.350000,1.310000
48.178642,1.247895,-4.791823,-0.175322,0.002592,8.476643,8.780051,0.350000,1.310000
48.198642,1.267581,-4.795310,-0.175270,0.002589,8.497333,8.778967,0.360000,1.320000
48.218641,1.287254,-4.798793,-0.175218,0.002586,8.517971,8.777883,0.360000,1.320000
48.238641,1.306966,-4.802282,-0.175166,0.002646,8.538555,8.776643,0.340000,1.310000
48.258640,1.326666,-4.805769,-0.175113,0.002707,8.559088,8.775392,0.350000,1.310000
48.278640,1.346353,-4.809251,-0.175058,0.002769,8.579568,8.774135,0.350000,1.310000
48.298639,1.366028,-4.812730,-0.175002,0.002831,8.599997,8.772866,0.350000,1.300000
48.318638,1.385741,-4.816215,-0.174944,0.002960,8.620374,8.771397,0.340000,0.670000
48.338638,1.405441,-4.819697,-0.174883,0.003089,8.640700,8.769903,0.340000,1.320000
48.358637,1.425128,-4.823174,-0.174820,0.003219,8.660975,8.768384,0.340000,1.310000
48.378637,1.444807,-4.826650,-0.174755,0.003354,8.681198,8.766821,0.350000,1.310000
48.398636,1.464518,-4.830129,-0.174686,0.003553,8.701372,8.764999,0.330000,1.300000
48.418636,1.484218,-4.833605,-0.174613,0.003752,8.721494,8.763121,0.330000,1.300000
48.438635,1.503906,-4.837077,-0.174536,0.003951,8.741566,8.761185,0.340000,1.320000
48.458635,1.523589,-4.840547,-0.174455,0.004160,8.761587,8.759148,0.340000,1.310000
48.478634,1.543299,-4.844020,-0.174369,0.004428,8.781558,8.756771,0.330000,1.310000
48.498633,1.562998,-4.847489,-0.174277,0.004696,8.801479,8.754292,0.330000,1.310000
48.518633,1.582688,-4.850955,-0.174181,0.004964,8.821348,8.751708,0.330000,1.320000
48.538632,1.602376,-4.854418,-0.174079,0.005248,8.841168,8.748931,0.330000,1.320000
48.558632,1.622084,-4.857883,-0.173971,0.005584,8.860936,8.745708,0.340000,1.320000
48.578631,1.641784,-4.861344,-0.173855,0.005920,8.880654,8.742319,0.340000,1.310000
48.598631,1.661475,-4.864801,-0.173734,0.006257,8.900320,8.738761,0.340000,1.310000
48.618630,1.681168,-4.868256,-0.173605,0.006616,8.919935,8.734859,0.330000,1.310000
48.638630,1.700875,-4.871711,-0.173469,0.007027,8.939498,6.989483,0.330000,1.320000
48.658629,1.720576,-4.875161,-0.173324,0.007437,8.955121,-9.205372,0.340000,1.320000
48.678628,1.740270,-4.878608,-0.173171,0.007848,8.934539,-9.200589,0.340000,1.320000
