# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
110.049543,50.072913,46.726755,0.157465,-0.111804,5.762105,7.555337,0.343750,0.750000
110.069541,50.092663,46.729868,0.155241,-0.110579,5.788268,7.560128,0.343750,0.750000
110.089539,50.112426,46.732939,0.153042,-0.109314,5.814329,7.566526,0.343750,0.750000
110.109537,50.132196,46.735966,0.150869,-0.108036,5.840295,7.573825,0.343750,0.750000
110.129535,50.151969,46.738951,0.148721,-0.106754,5.866172,7.581781,0.343750,0.750000
110.149533,50.171746,46.741892,0.146600,-0.105468,5.891962,7.590383,0.343750,0.750000
110.169532,50.191534,46.744793,0.144504,-0.104113,5.917669,7.601367,0.343750,0.781250
110.189530,50.211329,46.747653,0.142435,-0.102736,5.943301,7.613451,0.343750,0.781250
110.209528,50.231126,46.750471,0.140395,-0.101357,5.968864,7.626134,0.343750,0.781250
110.229526,50.250928,46.753249,0.138382,-0.099974,5.994360,7.639401,0.312500,0.781250
110.249524,50.270739,46.755988,0.136397,-0.098503,6.019793,7.655572,0.312500,0.781250
110.269522,50.290555,46.758688,0.134442,-0.097003,6.045171,7.672975,0.312500,0.781250
110.289520,50.310375,46.761349,0.132517,-0.095501,6.070501,7.690897,0.312500,0.781250
110.309518,50.330197,46.763972,0.130622,-0.093996,6.095785,7.709315,0.312500,0.781250
110.329516,50.350029,46.766559,0.128758,-0.092390,6.121024,7.730881,0.312500,0.781250
110.349514,50.369865,46.769109,0.126927,-0.090751,6.146230,7.753716,0.312500,0.781250
110.369512,50.389704,46.771622,0.125129,-0.089110,6.171407,7.776947,0.312500,0.781250
110.389511,50.409546,46.774100,0.123363,-0.087468,6.196556,7.800551,0.312500,0.781250
110.409509,50.429395,46.776544,0.121631,-0.085717,6.221680,7.827302,0.375000,0.812500
110.429507,50.449248,46.778953,0.119935,-0.083929,6.246788,7.855250,0.375000,0.812500
110.449505,50.469105,46.781329,0.118274,-0.082140,6.271885,7.883427,0.375000,0.812500
110.469503,50.488963,46.783673,0.116650,-0.080350,6.296972,7.911803,0.343750,0.812500
110.489501,50.508828,46.785985,0.115061,-0.078449,6.322048,7.943106,0.343750,0.812500
110.509499,50.528696,46.788265,0.113512,-0.076509,6.347124,7.975423,0.343750,0.812500
110.529497,50.548567,46.790515,0.112001,-0.074569,6.372203,8.007749,0.343750,0.812500
110.549495,50.568440,46.792735,0.110530,-0.072627,6.397285,8.040048,0.343750,0.812500
110.569493,50.588318,46.794927,0.109097,-0.070576,6.422369,8.074866,0.343750,0.812500
110.589491,50.608200,46.797091,0.107707,-0.068484,6.447464,8.110407,0.343750,0.812500
110.609490,50.628083,46.799227,0.106358,-0.066392,6.472571,8.145681,0.343750,0.812500
110.629488,50.647969,46.801337,0.105052,-0.064299,6.497690,8.180646,0.343750,0.812500
110.649486,50.667858,46.803421,0.103787,-0.062100,6.522819,8.217572,0.343750,0.812500
110.669484,50.687751,46.805481,0.102568,-0.059861,6.547964,8.254829,0.343750,0.812500
110.689482,50.707645,46.807517,0.101393,-0.057621,6.573127,8.291486,0.343750,0.812500
110.709480,50.727540,46.809529,0.100263,-0.055380,6.598305,8.327493,0.343750,0.843750
110.729478,50.747440,46.811520,0.099178,-0.053221,6.623496,8.361190,0.343750,0.843750
110.749476,50.767341,46.813490,0.098134,-0.051093,6.648692,8.393634,0.343750,0.843750
110.769474,50.787244,46.815439,0.097134,-0.048965,6.673891,8.425413,0.312500,0.843750
110.789473,50.807148,46.817369,0.096176,-0.046835,6.699090,8.456476,0.312500,0.781250
