# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
11.433501,60.469408,33.547142,0.9669905,0.0397781,0.0000000,0.0000000,0.723506,0.604782
11.513459,60.514700,33.613035,0.9702357,0.0413947,0.0000000,0.0000000,0.722977,0.601290
11.593417,60.559774,33.679077,0.9736104,0.0430167,0.0000000,0.0000000,0.722073,0.598082
11.673375,60.604621,33.745274,0.9771152,0.0446483,0.0000000,0.0000000,0.720900,0.595220
11.753333,60.649231,33.811631,0.9807510,0.0462954,0.0000000,0.0000000,0.719574,0.592800
11.833292,60.693595,33.878153,0.9845195,0.0479663,0.0000000,0.0000000,0.718200,0.590926
11.913250,60.737703,33.944844,0.9884231,0.0496741,0.0000000,0.0000000,0.716859,0.589681
11.993208,60.781546,34.011710,0.9924654,0.0514375,0.0000000,0.0000000,0.715606,0.589121
12.073166,60.825114,34.078756,0.9966522,0.0532864,0.0000000,0.0000000,0.714466,0.589253
12.153124,60.868396,34.145987,1.0009918,0.0552610,0.0000000,0.0000000,0.713445,0.590015
12.233082,60.911380,34.213408,1.0054966,0.0574192,0.0000000,0.0000000,0.712524,0.591356
12.313040,60.954054,34.281027,1.0101844,0.0598379,0.0000000,0.0000000,0.711661,0.593225
12.392998,60.996403,34.348849,1.0150798,0.0626100,0.0000000,0.0000000,0.710782,0.595584
12.472956,61.038412,34.416882,1.0202157,0.0658566,0.0000000,0.0000000,0.709783,0.598411
12.552914,61.080062,34.485136,1.0256353,0.0697035,0.0000000,0.0000000,0.708531,0.601694
12.632872,61.121329,34.553621,1.0313923,0.0742986,0.0000000,0.0000000,0.706887,0.605431
12.712830,61.162189,34.622351,1.0375525,0.0797860,0.0000000,0.0000000,0.704727,0.609619
12.792788,61.202608,34.691341,1.0441923,0.0862970,0.0000000,0.0000000,0.701967,0.614237
12.872746,61.242549,34.760608,1.0513989,0.0939630,0.0000000,0.0000000,0.698574,0.619273
12.952704,61.281968,34.830175,1.0592677,0.1028619,0.0000000,0.0000000,0.694566,0.624713
13.032662,61.320811,34.900063,1.0679003,0.1130672,0.0000000,0.0000000,0.689996,0.630560
13.112620,61.359020,34.970301,1.0774020,0.1246009,0.0000000,0.0000000,0.684933,0.636848
13.192578,61.396526,35.040917,1.0878787,0.1374549,0.0000000,0.0000000,0.679447,0.643663
13.272535,61.433253,35.111941,1.0994352,0.1516115,0.0000000,0.0000000,0.673595,0.651128
13.352493,61.469115,35.183405,1.1121731,0.1670072,0.0000000,0.0000000,0.667426,0.659381
13.432451,61.504018,35.255343,1.1261897,0.1835950,0.0000000,0.0000000,0.660991,0.668551
13.512408,61.537860,35.327785,1.1415773,0.2013026,0.0000000,0.0000000,0.654360,0.678602
13.592366,61.570530,35.400764,1.1584227,0.2200605,0.0000000,0.0000000,0.647630,0.689311
13.672323,61.601911,35.474306,1.1768072,0.2398050,0.0000000,0.0000000,0.640937,0.699807
13.752281,61.631875,35.548436,1.1968062,0.2604453,0.0000000,0.0000000,0.634441,0.709560
13.832238,61.660288,35.623175,1.2184877,0.2818927,0.0000000,0.0000000,0.628320,0.717800
13.912195,61.687009,35.698535,1.2419108,0.3040121,0.0000000,0.0000000,0.622743,0.722748
13.992152,61.711890,35.774522,1.2671222,0.3266306,0.0000000,0.0000000,0.617855,0.725010
14.072108,61.734777,35.851132,1.2941521,0.3495039,0.0000000,0.0000000,0.613763,0.723710
14.152065,61.755515,35.928353,1.3230077,0.3723042,0.0000000,0.0000000,0.610537,0.720387
14.232021,61.773947,36.006155,1.3536657,0.3945954,0.0000000,0.0000000,0.608211,0.715331
14.311977,61.789916,36.084501,1.3860627,0.4158125,0.0000000,0.0000000,0.606801,0.710388
14.391932,61.803273,36.163333,1.4200864,0.4352920,0.0000000,0.0000000,0.606298,0.706599
14.471888,61.813883,36.242581,1.4555645,0.4522007,0.0000000,0.0000000,0.606676,0.704691
14.551843,61.821624,36.322161,1.4922583,0.4657086,0.0000000,0.0000000,0.608108,0.704550
14.631798,61.826403,36.401973,1.5298589,0.4748886,0.0000000,0.0000000,0.610202,0.704796
14.711754,61.828153,36.481909,1.5679880,0.4789333,0.0000000,0.0000000,0.612742,0.702812
14.791709,61.826849,36.561854,1.6062104,0.4772237,0.0000000,0.0000000,0.615475,0.697894
14.871664,61.822503,36.641690,1.6440479,0.4693033,0.0000000,0.0000000,0.618146,0.690495
14.951619,61.815171,36.721309,1.6810051,0.4551966,0.0000000,0.0000000,0.620523,0.681939
15.031575,61.804954,36.800609,1.7165956,0.4351094,0.0000000,0.0000000,0.622417,0.674602
15.111531,61.791990,36.879507,1.7503669,0.4096813,0.0000000,0.0000000,0.623702,0.669654
15.191487,61.776454,36.957939,1.7819251,0.3797407,0.0000000,0.0000000,0.624323,0.667304
15.271443,61.758548,37.035865,1.8109469,0.3462262,0.0000000,0.0000000,0.624312,0.667303
15.351400,61.738495,37.113266,1.8371877,0.3101668,0.0000000,0.0000000,0.623781,0.668940
15.431357,61.716530,37.190146,1.8604793,0.2724483,0.0000000,0.0000000,0.622905,0.671837
15.511314,61.692896,37.266531,1.8807211,0.2338759,0.0000000,0.0000000,0.621881,0.675591
15.591271,61.667839,37.342461,1.8978685,0.1950427,0.0000000,0.0000000,0.620883,0.680232
15.671229,61.641600,37.417991,1.9119176,0.1563723,0.0000000,0.0000000,0.620029,0.685534
15.751187,61.614418,37.493186,1.9228906,0.1180987,0.0000000,0.0000000,0.619365,0.691402
15.831145,61.586527,37.568122,1.9308229,0.0803123,0.0000000,0.0000000,0.618862,0.697500
15.911103,61.558155,37.642877,1.9357518,0.0429760,0.0000000,0.0000000,0.618438,0.703301
15.991061,61.529526,37.717534,1.9377088,0.0059727,0.0000000,0.0000000,0.617980,0.708471
16.071019,61.500861,37.792177,1.9367137,-0.0308624,0.0000000,0.0000000,0.617325,0.712665
16.150977,61.472380,37.866891,1.9327730,-0.0677068,0.0000000,0.0000000,0.616326,0.715637
16.230935,61.444305,37.941758,1.9258797,-0.1047148,0.0000000,0.0000000,0.614951,0.717228
16.310893,61.416857,38.016857,1.9160169,-0.1419877,0.0000000,0.0000000,0.613249,0.717443
16.390851,61.390265,38.092263,1.9031625,-0.1795440,0.0000000,0.0000000,0.611185,0.716389
16.470808,61.364757,38.168043,1.8872973,-0.2172985,0.0000000,0.0000000,0.609209,0.714164
16.550766,61.340570,38.244255,1.8684140,-0.2550433,0.0000000,0.0000000,0.607748,0.710895
16.630723,61.317942,38.320943,1.8465265,-0.2924469,0.0000000,0.0000000,0.607134,0.706708
16.710680,61.297113,38.398139,1.8216805,-0.3290534,0.0000000,0.0000000,0.607930,0.701716
16.790636,61.278320,38.475856,1.7939608,-0.3643380,0.0000000,0.0000000,0.610160,0.696006
16.870592,61.261796,38.554086,1.7634978,-0.3976844,0.0000000,0.0000000,0.614091,0.689666
16.950548,61.247766,38.632801,1.7304685,-0.4285394,0.0000000,0.0000000,0.619450,0.682862
17.030504,61.236437,38.711950,1.6950946,-0.4563472,0.0000000,0.0000000,0.626658,0.675508
17.110459,61.227999,38.791459,1.6576357,-0.4807048,0.0000000,0.0000000,0.635799,0.667603
17.190414,61.222618,38.871232,1.6183779,-0.5013574,0.0000000,0.0000000,0.647164,0.659159
17.270369,61.220434,38.951157,1.5776239,-0.5181417,0.0000000,0.0000000,0.660710,0.650219
17.350323,61.221558,39.031104,1.5356800,-0.5311294,0.0000000,0.0000000,0.675387,0.640872
17.430278,61.226071,39.110931,1.4928476,-0.5403762,0.0000000,0.0000000,0.689118,0.631308
17.510232,61.234023,39.190489,1.4494183,-0.5460650,0.0000000,0.0000000,0.700001,0.622260
17.590186,61.245436,39.269624,1.4056698,-0.5483610,0.0000000,0.0000000,0.706935,0.613634
17.670140,61.260304,39.348184,1.3618694,-0.5473660,0.0000000,0.0000000,0.710295,0.605763
17.750094,61.278590,39.426019,1.3182736,-0.5432422,0.0000000,0.0000000,0.711794,0.598968
17.830049,61.300235,39.502987,1.2751303,-0.5360411,0.0000000,0.0000000,0.713651,0.593518
17.910003,61.325155,39.578959,1.2326800,-0.5259027,0.0000000,0.0000000,0.716716,0.589589
17.989958,61.353244,39.653817,1.1911510,-0.5129858,0.0000000,0.0000000,0.720338,0.587360
18.069912,61.384376,39.727462,1.1507577,-0.4974875,0.0000000,0.0000000,0.723449,0.587478
18.149867,61.418409,39.799812,1.1116930,-0.4797434,0.0000000,0.0000000,0.724928,0.588945
18.229823,61.455190,39.870805,1.0741232,-0.4600823,0.0000000,0.0000000,0.723282,0.591501
18.309778,61.494556,39.940398,1.0381843,-0.4389393,0.0000000,0.0000000,0.719768,0.594889
18.389734,61.536339,40.008568,1.0039778,-0.4167381,0.0000000,0.0000000,0.714409,0.598878
18.469690,61.580368,40.075309,0.9715716,-0.3938987,0.0000000,0.0000000,0.708599,0.604003
18.549646,61.626478,40.140631,0.9410008,-0.3708194,0.0000000,0.0000000,0.703120,0.609155
18.629602,61.674504,40.204557,0.9122714,-0.3478316,0.0000000,0.0000000,0.697988,0.614183
18.709559,61.724289,40.267123,0.8853647,-0.3252209,0.0000000,0.0000000,0.693318,0.619005
18.789516,61.775685,40.328373,0.8602422,-0.3031972,0.0000000,0.0000000,0.688987,0.623809
18.869473,61.828551,40.388359,0.8368504,-0.2819242,0.0000000,0.0000000,0.684699,0.628338
18.949430,61.882756,40.447137,0.8151257,-0.2614965,0.0000000,0.0000000,0.680256,0.632375
19.029387,61.938179,40.504769,0.7949976,-0.2419812,0.0000000,0.0000000,0.675402,0.635911
19.109345,61.994708,40.561317,0.7763927,-0.2233977,0.0000000,0.0000000,0.670616,0.638929
19.189302,62.052238,40.616846,0.7592364,-0.2057410,0.0000000,0.0000000,0.666125,0.641475
19.269260,62.110675,40.671420,0.7434555,-0.1889956,0.0000000,0.0000000,0.662139,0.643408
19.349217,62.169931,40.725105,0.7289788,-0.1731156,0.0000000,0.0000000,0.658803,0.644649
19.429175,62.229924,40.777963,0.7157386,-0.1580671,0.0000000,0.0000000,0.656197,0.645185
19.509133,62.290581,40.830059,0.7036705,-0.1437973,0.0000000,0.0000000,0.654349,0.645019
19.589091,62.351834,40.881453,0.6927141,-0.1302591,0.0000000,0.0000000,0.653270,0.644176
19.669049,62.413619,40.932206,0.6828125,-0.1174125,0.0000000,0.0000000,0.652964,0.642708
19.749006,62.475879,40.982376,0.6739124,-0.1052075,0.0000000,0.0000000,0.653439,0.640690
19.828964,62.538558,41.032020,0.6659638,-0.0936129,0.0000000,0.0000000,0.654684,0.638226
19.908922,62.601608,41.081193,0.6589194,-0.0825886,0.0000000,0.0000000,0.656655,0.635391
19.988880,62.664982,41.129948,0.6527351,-0.0721008,0.0000000,0.0000000,0.659272,0.632274
20.068838,62.728636,41.178337,0.6473691,-0.0621190,0.0000000,0.0000000,0.662425,0.628975
20.148797,62.792530,41.226408,0.6427827,-0.0526014,0.0000000,0.0000000,0.665988,0.625596
20.228755,62.856626,41.274210,0.6389401,-0.0435136,0.0000000,0.0000000,0.669831,0.622249
20.308713,62.920887,41.321788,0.6358089,-0.0348080,0.0000000,0.0000000,0.673851,0.619041
20.388671,62.985282,41.369187,0.6333604,-0.0264365,0.0000000,0.0000000,0.677974,0.616065
20.468629,63.049776,41.416450,0.6315700,-0.0183477,0.0000000,0.0000000,0.682164,0.613384
20.548587,63.114340,41.463618,0.6304173,-0.0104837,0.0000000,0.0000000,0.686416,0.611026
20.628545,63.178944,41.510731,0.6298866,-0.0027912,0.0000000,0.0000000,0.690732,0.608982
20.708503,63.243558,41.557830,0.6299664,0.0047865,0.0000000,0.0000000,0.695111,0.607214
20.788461,63.308154,41.604953,0.6306495,0.0123003,0.0000000,0.0000000,0.699531,0.605667
20.868419,63.372704,41.652140,0.6319328,0.0197985,0.0000000,0.0000000,0.703939,0.604274
20.948377,63.437179,41.699430,0.6338167,0.0273241,0.0000000,0.0000000,0.708253,0.602959
21.028335,63.501551,41.746860,0.6363050,0.0349162,0.0000000,0.0000000,0.712377,0.601639
21.108293,63.565789,41.794469,0.6394044,0.0426093,0.0000000,0.0000000,0.716204,0.600221
21.188251,63.629865,41.842298,0.6431241,0.0504334,0.0000000,0.0000000,0.719641,0.598616
21.268210,63.693748,41.890384,0.6474759,0.0584183,0.0000000,0.0000000,0.722611,0.596751
21.348168,63.757405,41.938768,0.6524735,0.0665875,0.0000000,0.0000000,0.725062,0.594599
21.428126,63.820804,41.987491,0.6581328,0.0749676,0.0000000,0.0000000,0.726962,0.592194
21.508084,63.883909,42.036593,0.6644713,0.0835806,0.0000000,0.0000000,0.728299,0.589630
21.588042,63.946684,42.086116,0.6715088,0.0924482,0.0000000,0.0000000,0.729083,0.587052
21.668000,64.009092,42.136102,0.6792664,0.1015940,0.0000000,0.0000000,0.729336,0.584604
21.747957,64.071091,42.186594,0.6877670,0.1110350,0.0000000,0.0000000,0.729091,0.582409
21.827915,64.132639,42.237634,0.6970353,0.1207935,0.0000000,0.0000000,0.728389,0.580527
21.907873,64.193691,42.289266,0.7070971,0.1308851,0.0000000,0.0000000,0.727285,0.578950
21.987831,64.254199,42.341535,0.7179797,0.1413246,0.0000000,0.0000000,0.725839,0.577630
22.067789,64.314112,42.394484,0.7297115,0.1521269,0.0000000,0.0000000,0.724106,0.576530
