stamp_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_update_used,wheel_burst_rejected,turn_mode,reset_epoch,timing_degraded
1789484657.0274758,19.683585375553051,19.683585375553051,19.682908364292569,0.16325305371590182,164.75122812152412,15.565119050477938,0,0,1,0,0
1789484657.0524769,19.68371661814469,19.68371661814469,19.683051956251045,0.16175781572257211,165.21559728933619,15.72801601568346,0,0,1,0,0
1789484657.0784767,19.6836345680988,19.6836345680988,19.682978469169331,0.16071214226239214,165.69999982262672,15.893134375028728,0,0,1,0,0
1789484657.1024759,19.68352687212322,19.68352687212322,19.68287777702221,0.15985161995479283,166.14844591910912,16.041622940262663,0,0,1,0,0
1789484657.1274767,19.683238445981434,19.683238445981434,19.682595337384058,0.15911161538058963,166.6169268638962,16.192250057067437,0,0,1,0,0
1789484657.1524758,19.682850386193081,19.682850386193081,19.68221020701144,0.15874725911283236,167.08665547180237,16.338801437986923,0,0,1,0,0
1789484657.1774766,19.682758671680837,19.682758671680837,19.682125897546673,0.15782610921440965,167.55766467733025,16.481276092038964,0,0,1,0,0
1789484657.2034767,19.682498781661145,19.682498781661145,19.681872183476838,0.15705299542896448,168.04880612703624,16.625035988788618,0,0,1,0,0
1789484657.2284763,19.682736549853065,19.682736549853065,19.682119578915472,0.15584278037182014,168.52225975353693,16.75906088598332,0,0,1,0,0
1789484657.2514758,19.682536563936189,19.682536563936189,19.681923797923307,0.15531002358253232,168.95884001673102,16.878756668923735,0,0,1,0,0
1789484657.2774756,19.682395765064758,19.682395765064758,19.681789408717627,0.15449505988805057,169.45350686387377,17.009838372724008,0,0,1,0,0
1789484657.3024766,19.682108535780312,19.682108535780312,19.681506147486012,0.15398759919753391,169.93027654736954,17.131618481220798,0,0,1,0,0
1789484657.3274763,19.681776314465861,19.681776314465861,19.68117657002243,0.15364801420620644,170.40805413573551,17.249232143032039,0,0,1,0,0
1789484657.3524756,19.681561309322156,19.681561309322156,19.680965297622816,0.15316829428216255,170.88681482782596,17.362727729237129,0,0,1,0,0
1789484657.3774765,19.681099239156623,19.681099239156623,19.680505138501129,0.15292074732359334,171.3665573318149,17.472087483722859,0,0,1,0,0
1789484657.4034765,19.681040385689709,19.681040385689709,19.68045315766263,0.1520334574899328,171.86646385401775,17.581352382002819,0,0,1,0,0
1789484657.4274766,19.681010103659094,19.681010103659094,19.680429425812086,0.15118305447741093,172.32877937133995,17.67818682694806,0,0,1,0,0
1789484657.4524763,19.680585613009384,19.680585613009384,19.680007124624659,0.15089614214613761,172.8111785173283,17.774971659955888,0,0,1,0,0
1789484657.4764764,19.680230680769245,19.680230680769245,19.679655124801545,0.1505118505745569,173.27505428856628,17.863953821510858,0,0,1,0,0
1789484657.5024765,19.679803213335514,19.679803213335514,19.679229658992405,0.15024827534632665,173.77840055381068,17.955931381449624,0,0,1,0,0
1789484657.5274758,19.679379483500398,19.679379483500398,19.678807746143963,0.15000848616250215,174.26312397352271,18.04010471502567,0,0,1,0,0
1789484657.5524769,19.678947986957255,19.678947986957255,19.678378184500108,0.14975280017153317,174.74857268964897,18.120125248916736,0,0,1,0,0
1789484657.5774763,19.678662993734935,19.678662993734935,19.678096835665212,0.14927205758487275,175.23466140913695,18.195890479066197,0,0,1,0,0
1789484657.6024759,19.678133420589251,19.678133420589251,19.677567980980431,0.14917530762625109,175.72139046302837,18.267389008059233,0,0,1,0,0
1789484657.6284757,19.677997494277523,19.677997494277523,19.677438469896192,0.14832615494894444,176.2282281784683,18.337218386503586,0,0,1,0,0
1789484657.6534765,19.677625280545065,19.677625280545065,19.677069414352008,0.14790518692385354,176.71616079701482,18.400048454410353,0,0,1,0,0
1789484657.6774766,19.676746115308017,19.676746115308017,19.676186203319311,0.14843914105090056,177.18504198165544,18.456403906935833,0,0,1,0,0
1789484657.7034767,19.675819256006481,19.675819256006481,19.675256535161083,0.14880749522979494,177.69347573134993,18.513088179497785,0,0,1,0,0
1789484657.7274768,19.675314485435081,19.675314485435081,19.674752926129223,0.14865193083535469,178.1632196086714,18.56135304588441,0,0,1,0,0
1789484657.7524765,19.674613317434293,19.674613317434293,19.674051765358982,0.14864832504239139,178.65292213855264,18.607441837192052,0,0,1,0,0
1789484657.7774756,19.674300666036821,19.674300666036821,19.67374212538634,0.14824804017556137,179.14298600494038,18.649256385702415,0,0,1,0,0
1789484657.8024766,19.673595558787262,19.673595558787262,19.673036770991072,0.14827817764946444,179.63341672699448,18.68684835392002,0,0,1,0,0
1789484657.8284767,19.672688589165986,19.672688589165986,19.672127589061269,0.14856798442496807,180.14374618474662,18.721464651566372,0,0,1,0,0
1789484657.8534763,19.671722084614064,19.671722084614064,19.671157743800912,0.14900601596602861,180.63469431452179,18.750358280614606,0,0,1,0,0
1789484657.8774765,19.672574684098294,19.672574684098294,19.672571521822576,0.011154380326276581,181.1062134129169,18.774406818342083,0,0,1,0,0
1789484657.9034765,19.671865010814848,19.671865010814848,19.671776388070079,-0.059048636648345851,181.61702139194361,18.800565759946171,0,0,1,0,0
1789484657.9274766,19.670545093088464,19.670545093088464,19.670470217700586,-0.054274061768240831,182.08828802280507,18.828809528437858,0,0,1,0,0
1789484657.9524763,19.670270429480546,19.670270429480546,19.670235088410735,-0.037287203595508925,182.57885131875122,18.862990167281193,0,0,1,0,0
1789484657.9784763,19.669696275011177,19.669696275011177,19.669671900430277,-0.030965797456249458,183.08870718401531,18.902957955184785,0,0,1,0,0
1789484658.0034759,19.669001244272003,19.669001244272003,19.66897750170746,-0.030561159980911752,183.57860587031749,18.945312982868124,0,0,1,0,0
1789484658.0284765,19.668734256111549,19.668734256111549,19.668711519176703,-0.029906737394957132,184.06815965336105,18.991555668286747,0,0,1,0,0
1789484658.0524769,19.669174657636319,19.669174657636319,19.669154745140936,-0.027987931372935357,184.53777104133511,19.039602761985936,0,0,1,0,0
1789484658.0784767,19.669191254106742,19.669191254106742,19.669173765386176,-0.026229328496838292,185.04607566315946,19.095734424043332,0,0,1,0,0
1789484658.1024768,19.668835736737257,19.668835736737257,19.668819291981045,-0.02543419247627729,185.51485589183127,19.151280683362202,0,0,1,0,0
1789484658.1274767,19.668719823806832,19.668719823806832,19.668704644732742,-0.024435745958752517,186.00269269047408,19.212928901536078,0,0,1,0,0
1789484658.1534765,19.668800075397332,19.668800075397332,19.668786119735923,-0.023430365629862896,186.50950290629257,19.281167519347559,0,0,1,0,0
1789484658.1784759,19.668834368962248,19.668834368962248,19.668821247943647,-0.022718937277639739,186.99626637885615,19.350725503067125,0,0,1,0,0
1789484658.2024765,19.668732862731581,19.668732862731581,19.668720319214856,-0.02221328435785835,187.46304819257043,19.42114335619198,0,0,1,0,0
1789484658.2284763,19.668819999388507,19.668819999388507,19.668808222320973,-0.0215239843957989,187.9680929092348,19.501414000572556,0,0,1,0,0
1789484658.2524765,19.668979854654321,19.668979854654321,19.668968724216025,-0.020924832360604464,188.43370010237163,19.5791806908396,0,0,1,0,0
1789484658.2774756,19.669228857453998,19.669228857453998,19.669218457303973,-0.020226857238904026,188.91804235642533,19.663986467095018,0,0,1,0,0
1789484658.3034759,19.669112017290725,19.669112017290725,19.669101646574113,-0.020198155012176283,189.42105533154384,19.75624457976868,0,0,1,0,0
1789484658.3274763,19.669206686875484,19.669206686875484,19.669196602930498,-0.019916985077277606,189.88469022450653,19.845074238676801,0,0,1,0,0
1789484658.3524768,19.669415148596091,19.669415148596091,19.669405434480005,-0.01954844929333794,190.36690417040538,19.941416852558376,0,0,1,0,0
1789484658.3774765,19.669905108940938,19.669905108940938,19.66989613515079,-0.018789015961148462,190.84833411247243,20.041554444845662,0,0,1,0,0
1789484658.4024758,19.670071893417717,19.670071893417717,19.67006308055878,-0.018619856606580297,191.32896690099923,20.14546743974466,0,0,1,0,0
1789484658.4274766,19.670224683790462,19.670224683790462,19.670215923836167,-0.018563955979801008,191.80879223053995,20.253194149742971,0,0,1,0,0
1789484658.4534767,19.670676507682895,19.670676507682895,19.670668193964094,-0.018085156265775407,192.30688505630991,20.369238955747143,0,0,1,0,0
1789484658.4774771,19.670791274074446,19.670791274074446,19.670783072958674,-0.017962316272589499,192.76581544597582,20.47999363796357,0,0,1,0,0
1789484658.5024765,19.670994142725441,19.670994142725441,19.670986033246841,-0.017861773324508574,193.24292892999171,20.599118542494658,0,0,1,0,0
1789484658.5274758,19.670472168946066,19.670472168946066,19.670463156094879,-0.018830135307459136,193.71907797789638,20.722025745609308,0,0,1,0,0
1789484658.5534756,19.670860902361831,19.670860902361831,19.670852016956001,-0.018696713223937549,194.2132347468561,20.853832018383169,0,0,1,0,0
1789484658.5774763,19.671244945454237,19.671244945454237,19.671236226347137,-0.018521104364498237,194.66842540713674,20.979118981732309,0,0,1,0,0
1789484658.6034763,19.671879270614578,19.671879270614578,19.671871038404429,-0.017996833628530405,195.16045761817023,21.118749652884269,0,0,1,0,0
1789484658.6284769,19.672478108888409,19.672478108888409,19.672470280374515,-0.017550284190760483,195.63249797237501,21.256809821301434,0,0,1,0,0
1789484658.6524758,19.672909494641726,19.672909494641726,19.67290195054419,-0.017228715538470961,196.08460054038119,21.392842218033756,0,0,1,0,0
1789484658.6784759,19.673457474446039,19.673457474446039,19.673450197092336,-0.01692162416137619,196.57322116147978,21.544121541120091,0,0,1,0,0
1789484658.7034767,19.673371493139285,19.673371493139285,19.673363667120821,-0.01754788522465486,197.04188131254247,21.693370908678663,0,0,1,0,0
1789484658.7274768,19.673501210565483,19.673501210565483,19.673493096490713,-0.017867972850407365,197.49065626011401,21.840141359002903,0,0,1,0,0
1789484658.7534769,19.674017766837895,19.674017766837895,19.674009883779711,-0.017612007024548189,197.97556472008358,22.002974559867759,0,0,1,0,0
1789484658.7784765,19.674350534001125,19.674350534001125,19.674342608389033,-0.017659628482312194,198.44056055023498,22.163263194513693,0,0,1,0,0
1789484658.8024766,19.674925157223146,19.674925157223146,19.67491748294702,-0.017377616578054186,198.88577482244924,22.320590884706125,0,0,1,0,0
1789484658.8274763,19.67542545845097,19.67542545845097,19.675417914847248,-0.017229253277787931,199.34824362066885,22.488103732756869,0,0,1,0,0
1789484658.8524768,19.675429659514826,19.675429659514826,19.675421611271059,-0.017796214301304829,199.80939442522242,22.659283586174951,0,0,1,0,0
1789484658.8784769,19.676450363841809,19.676450363841809,19.676442998504854,-0.017024902929546542,200.28754944281525,22.841153451171198,0,0,1,0,0
1789484658.9024758,19.67646801355113,19.67646801355113,19.67646014161722,-0.017600671852513551,200.72757928079153,23.012502866837174,0,0,1,0,0
1789484658.9274766,19.676710490172109,19.676710490172109,19.676702460010652,-0.017776789921805657,201.18458735226676,23.194545219318222,0,0,1,0,0
1789484658.9524763,19.677021656025477,19.677021656025477,19.67701346849395,-0.017950275855204315,201.64011609312908,23.38021453014326,0,0,1,0,0
1789484658.9774771,19.677353811606395,19.677353811606395,19.677345417180231,-0.018175811314053696,202.09418609773098,23.56950517357572,0,0,1,0,0
1789484659.0024765,19.681937623592432,19.681937623592432,19.68190409436578,0.036329590843554957,202.54687444128641,23.762160514989819,0,0,1,0,0
1789484659.0274758,19.686427097120578,19.686427097120578,19.686337383940298,0.059432784875607922,202.99880959504588,23.956863933838306,0,0,1,0,0
1789484659.0524769,19.690084321654474,19.690084321654474,19.689967854245609,0.067723649029524449,203.45062635014929,24.152181814329154,0,0,1,0,0
1789484659.0774763,19.693144746957582,19.693144746957582,19.693019091206498,0.070349825866349053,203.90245025491984,24.347611959466132,0,0,1,0,0
1789484659.1024768,19.6960678740029,19.6960678740029,19.695941091791376,0.070669696568007478,204.35436294216092,24.543084384798711,0,0,1,0,0
1789484659.1284769,19.698997931712945,19.698997931712945,19.698873322359074,0.070066705936995641,204.82442573142637,24.74636884148542,0,0,1,0,0
1789484659.1524758,19.701550851796995,19.701550851796995,19.701429429647298,0.069169318127084461,205.25839340379775,24.93398293026144,0,0,1,0,0
1789484659.1774766,19.704048778279077,19.704048778279077,19.703930511305472,0.068269044569454485,205.71056177612823,25.129391982619161,0,0,1,0,0
1789484659.2024765,19.706247204171728,19.706247204171728,19.70613225984993,0.067306977557407277,206.1627960068875,25.324749242405499,0,0,1,0,0
1789484659.2274768,19.708224423144266,19.708224423144266,19.708112119216327,0.066532769509709114,206.6151169372159,25.520061101438138,0,0,1,0,0
