# x_m, y_m, w_tr_right_m, w_tr_left_m
0.537874, -2.075740, 0.5926, 0.6882
0.539509, -2.158739, 0.6153, 0.6847
0.541558, -2.241844, 0.6405, 0.6834
0.544019, -2.325056, 0.6662, 0.6840
0.546893, -2.408374, 0.6897, 0.6864
0.550179, -2.491799, 0.7089, 0.6903
0.553879, -2.575332, 0.7235, 0.6947
0.557991, -2.658970, 0.7341, 0.6982
0.562515, -2.742716, 0.7420, 0.6999
0.567453, -2.826569, 0.7489, 0.6996
0.572803, -2.910528, 0.7562, 0.6973
0.578566, -2.994594, 0.7652, 0.6940
0.584742, -3.078766, 0.7767, 0.6907
0.591330, -3.163046, 0.7918, 0.6884
0.598331, -3.247432, 0.8096, 0.6875
0.605091, -3.331731, 0.8268, 0.6892
0.610679, -3.415666, 0.8429, 0.6936
0.615088, -3.499234, 0.8585, 0.6998
0.618319, -3.582437, 0.8730, 0.7073
0.620371, -3.665274, 0.8864, 0.7158
0.621245, -3.747745, 0.8986, 0.7244
0.620940, -3.829850, 0.9096, 0.7313
0.619456, -3.911588, 0.9192, 0.7347
0.616794, -3.992961, 0.9274, 0.7345
0.612953, -4.073968, 0.9344, 0.7320
0.607933, -4.154609, 0.9401, 0.7295
0.601735, -4.234883, 0.9449, 0.7290
0.594358, -4.314792, 0.9489, 0.7310
0.585803, -4.394335, 0.9523, 0.7347
0.576069, -4.473511, 0.9553, 0.7387
0.565156, -4.552322, 0.9581, 0.7422
0.553064, -4.630767, 0.9605, 0.7452
0.539794, -4.708845, 0.9625, 0.7486
0.525346, -4.786558, 0.9639, 0.7530
0.509718, -4.863905, 0.9641, 0.7592
0.492912, -4.940886, 0.9626, 0.7678
0.474928, -5.017500, 0.9589, 0.7799
0.455765, -5.093749, 0.9528, 0.7962
0.435423, -5.169631, 0.9446, 0.8167
0.413902, -5.245148, 0.9352, 0.8407
0.391203, -5.320299, 0.9256, 0.8667
0.367326, -5.395083, 0.9169, 0.8936
0.342269, -5.469502, 0.9097, 0.9199
0.316034, -5.543555, 0.9043, 0.9452
0.288621, -5.617241, 0.9010, 0.9702
0.260028, -5.690562, 0.8994, 0.9968
0.230258, -5.763516, 0.8991, 1.0272
0.199308, -5.836105, 0.8998, 1.0620
0.167180, -5.908328, 0.9016, 1.1005
0.133873, -5.980184, 0.9043, 1.1404
0.099388, -6.051675, 0.9080, 1.1795
0.063724, -6.122799, 0.9126, 1.2168
0.026881, -6.193558, 0.9182, 1.2529
-0.011140, -6.263950, 0.9251, 1.2878
-0.050340, -6.333977, 0.9334, 1.3203
-0.090719, -6.403637, 0.9435, 1.3486
-0.132276, -6.472932, 0.9556, 1.3716
-0.175012, -6.541861, 0.9702, 1.3900
-0.218926, -6.610423, 0.9877, 1.4052
-0.264020, -6.678620, 1.0084, 1.4185
-0.310291, -6.746450, 1.0321, 1.4302
-0.357742, -6.813915, 1.0601, 1.4394
