# x_m, y_m, w_tr_right_m, w_tr_left_m
14.575818, -2.996775, 0.7874, 0.5425
14.653396, -3.017496, 0.7598, 0.5857
14.731373, -3.037388, 0.7327, 0.6268
14.809749, -3.056451, 0.7056, 0.6643
14.888523, -3.074685, 0.6820, 0.6981
14.967696, -3.092090, 0.6599, 0.7287
15.047268, -3.108666, 0.6299, 0.7563
15.127238, -3.124413, 0.5914, 0.7800
15.207607, -3.139331, 0.5503, 0.7983
15.288375, -3.153420, 0.5114, 0.8112
15.369541, -3.166680, 0.4769, 0.8187
15.451106, -3.179111, 0.4482, 0.8213
15.533070, -3.190712, 0.4345, 0.8200
15.615432, -3.201485, 0.4550, 0.8157
15.698193, -3.211429, 0.4976, 0.8091
15.781353, -3.220544, 0.5287, 0.8011
15.864911, -3.228830, 0.5586, 0.7922
15.948868, -3.236286, 0.5934, 0.7828
16.033224, -3.242914, 0.6284, 0.7736
16.117978, -3.248713, 0.6594, 0.7641
16.203131, -3.253683, 0.6847, 0.7524
16.288683, -3.257823, 0.7065, 0.7376
16.374634, -3.261135, 0.7268, 0.7224
16.460983, -3.263618, 0.7440, 0.7088
16.547731, -3.265271, 0.7571, 0.6950
16.634877, -3.266096, 0.7683, 0.6795
16.722422, -3.266092, 0.7797, 0.6628
16.810366, -3.265258, 0.7909, 0.6437
16.898709, -3.263596, 0.8041, 0.6219
16.987450, -3.261104, 0.8188, 0.6008
17.076590, -3.257784, 0.8352, 0.5827
17.166128, -3.253635, 0.8532, 0.5663
17.256065, -3.248656, 0.8705, 0.5503
17.346401, -3.242849, 0.8834, 0.5333
17.437136, -3.236212, 0.8923, 0.5131
17.528269, -3.228747, 0.9005, 0.4874
17.619801, -3.220452, 0.9082, 0.4520
17.711732, -3.211329, 0.9119, 0.4004
17.804061, -3.201376, 0.9091, 0.3234
17.896789, -3.190594, 0.9006, 0.2372
17.989916, -3.178984, 0.8866, 0.2221
18.083441, -3.166544, 0.8736, 0.2502
18.175933, -3.154852, 0.8664, 0.3034
18.265959, -3.145484, 0.8623, 0.3746
18.353519, -3.138441, 0.8587, 0.4592
18.438614, -3.133721, 0.8540, 0.5505
18.521243, -3.131326, 0.8481, 0.6432
18.601407, -3.131256, 0.8405, 0.7327
18.679104, -3.133509, 0.8308, 0.8122
18.754336, -3.138087, 0.8187, 0.8854
18.827102, -3.144989, 0.8050, 0.9499
18.897402, -3.154215, 0.7900, 1.0071
18.965237, -3.165766, 0.7741, 1.0631
19.030606, -3.179640, 0.7575, 1.1175
19.093509, -3.195839, 0.7403, 1.1594
19.153947, -3.214363, 0.7224, 1.1896
19.211919, -3.235210, 0.7041, 1.2185
19.267425, -3.258382, 0.6854, 1.2485
19.320465, -3.283878, 0.6663, 1.2695
19.371040, -3.311698, 0.6464, 1.2849
19.419148, -3.341843, 0.6253, 1.2950
19.464792, -3.374312, 0.6023, 1.3004
19.507969, -3.409105, 0.5763, 1.3009
19.548681, -3.446222, 0.5451, 1.2931
19.586927, -3.485664, 0.5048, 1.2804
19.622707, -3.527430, 0.1500, 1.2630
19.656022, -3.571520, 0.1500, 1.2413
19.686870, -3.617934, 0.1500, 1.2233
19.715253, -3.666673, 0.1500, 1.2039
19.741171, -3.717736, 0.1500, 1.1838
19.764622, -3.771123, 0.1500, 1.1641
