s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
2.87949195,-3.20472613,1.70713975,-0.013507709,0.18814678,0.063929985,4.47167994,-1.18806813,4.89273545,-0.237749577,1.787208533,2.99999866,0.9753826,0.9900391
3.05946019,-3.18818913,1.52793293,-0.013754778,0.19470354,0.008662405,4.59041359,-1.71467084,5.01234956,-0.138722619,3.199939999,2.99999563,0.9737834,1.0391841
3.23942844,-3.17209729,1.34868559,-0.013739392,0.19047498,-0.055475814,4.68676110,-1.70693552,4.91708079,-0.102489884,-1.383062544,-7.99999417,0.9735342,1.0696089
3.41939669,-3.15647013,1.16939704,-0.003460647,0.17468340,-0.119175006,4.70496856,-1.67783753,4.60865571,-0.126383110,0.143802346,-7.99999797,0.9735734,0.9947554
3.59936493,-3.14166881,0.99003792,-0.349286010,0.14904286,-0.155689070,4.61993832,-1.73162474,4.28852944,-0.131831146,-0.396275797,-7.99999871,0.9720012,0.8699442
3.77933318,-3.13670386,0.81018125,-0.472962256,0.11918997,-0.156445996,4.45275892,-1.79663851,3.94969787,-0.144509391,-0.206305165,-7.99999885,0.9672560,0.8557884
3.95930143,-3.14715429,0.63056511,-0.517594247,0.09006679,-0.148916575,4.22023480,-1.89562905,3.59627731,-0.166185799,-0.763003414,-7.99999851,0.9825130,0.8334993
4.13926967,-3.17422834,0.45270198,-0.550992333,0.06243007,-0.144109895,3.93584698,-2.03259920,3.24746185,-0.192634527,-0.386282456,-7.04230633,1.0122740,0.8031728
4.31923792,-3.21874436,0.27839109,-0.571253790,0.03520069,-0.148389590,3.61903293,-2.21053524,2.95033907,-0.230564870,-1.119061686,-5.02355066,1.0303889,0.7703766
4.49920617,-3.28087670,0.10955837,-0.574795489,0.00597465,-0.170048721,3.28074526,-2.43847027,2.59810601,-0.279388000,-0.720636877,-7.99999848,1.0751471,1.0638325
4.67917442,-3.36005865,-0.05198326,-0.559220207,-0.02928581,-0.219610868,2.94746185,-2.71419965,2.46701137,-0.340039882,-1.317202349,2.99998685,1.1227766,1.3993553
4.85914266,-3.45504212,-0.20477580,-0.528791668,-0.07591255,-0.301608203,2.73997357,-2.91973616,2.65835545,-0.355983298,0.744695559,2.99999961,1.1703516,3.5568642
5.03911091,-3.56410509,-0.34786877,-0.487649655,-0.13884067,-0.405941372,2.71082569,-2.95113035,2.85844809,-0.339885838,-0.251964568,2.99999984,1.2471598,3.6934870
5.21907916,-3.68531014,-0.48084577,-0.425396955,-0.22153964,-0.519770289,2.78896941,-2.86844306,3.06051241,-0.312831090,1.055587758,2.99999992,1.3535188,3.8398001
5.39904740,-3.81751068,-0.60286819,-0.853698972,-0.31107850,-0.575747557,2.90882507,-2.75025131,3.24278234,-0.283828433,-0.241427367,2.99999992,1.5130260,4.1615903
5.57901565,-3.96556237,-0.70487142,-1.109559020,-0.38395675,-0.525933986,3.02083429,-2.64827498,3.38334891,-0.264302657,1.318469051,2.99999991,1.8178210,4.2902231
5.75898390,-4.13076742,-0.77541916,-1.408746367,-0.42834120,-0.383636290,3.10389188,-2.57740933,3.47985144,-0.248524298,-0.829695857,2.99999986,2.3912418,3.6875600
5.93895214,-4.30816537,-0.80282414,-1.508986435,-0.44795300,-0.176739200,3.16221857,-2.52986929,3.54514706,-0.242494048,1.741980828,2.99999981,2.3037222,1.6583035
6.11892039,-4.48654029,-0.78242405,-1.413755627,-0.45194491,0.037408266,3.21551823,-2.48793486,3.60358120,-0.231718113,-0.548021250,2.99999984,2.1074229,1.7796084
6.29888864,-4.65329230,-0.71614386,-1.687625158,-0.44441148,0.273774786,3.26337589,-2.45144900,3.65539496,-0.228967196,1.158078868,2.99999977,2.8789341,1.9480597
6.47885688,-4.79325980,-0.60395538,-1.564772636,-0.42033766,0.522983933,3.31359331,-2.41429745,3.70906151,-0.218665107,0.187354703,2.99999986,1.8453982,3.4272218
6.65882513,-4.89730071,-0.45759287,-1.172486654,-0.35901128,0.696410967,3.40088666,-2.35232770,3.80116346,-0.210226167,0.321894873,2.99999994,1.4610499,3.0291079
6.83879338,-4.96812556,-0.29236180,-0.672737121,-0.24545472,0.750000009,3.54200996,-2.25860458,3.94804171,-0.193438481,0.357354991,2.99999997,1.2949335,2.8970821
7.01876162,-5.02139868,-0.12046052,-0.087515986,-0.10243504,0.686198167,3.71706296,-2.15223678,4.12803476,-0.177569488,0.177689077,2.99999997,1.2334519,2.9184083
7.19872987,-5.07276451,0.05202119,-0.057237350,0.02909409,0.575664294,3.88963483,-2.05674825,4.30394095,-0.161958138,0.365650858,2.99999996,1.1923951,2.9496281
7.37869812,-5.12241098,0.22500556,-0.055931795,0.13468641,0.479103456,4.04605266,-1.97723549,4.46256805,-0.151220008,0.025225451,2.99999995,1.1437668,1.0440986
7.55866636,-5.17031955,0.39847926,-0.055995951,0.21968567,0.394307311,4.19078710,-1.90894910,4.60894743,-0.140364602,0.434040488,2.99999994,1.1072548,0.8933018
7.73863461,-5.21647663,0.57242717,-0.056211738,0.28772046,0.318322231,4.32683662,-1.84892505,4.74632812,-0.133112984,-0.133335125,2.99999993,1.0722100,0.8934973
7.91860286,-5.26086951,0.74683365,-0.056687167,0.34119630,0.249209811,4.45616727,-1.79526436,4.87680059,-0.124703027,0.535633366,2.99999992,1.0405491,0.9115678
8.09857110,-5.30348522,0.92168287,-0.056730140,0.38180285,0.185612240,4.58013569,-1.74666927,5.00178906,-0.119419317,-0.298344807,2.99999990,1.0112613,0.9259807
8.27853935,-5.34431301,1.09695819,-0.056988590,0.41078208,0.126549172,4.69972546,-1.70222594,5.12231645,-0.112509924,0.658257867,2.99999989,0.9823310,0.9393514
8.45850760,-5.38334065,1.27264310,-0.057082681,0.42920125,0.072577181,4.81568647,-1.59491742,5.23915687,-0.083250580,0.846978757,2.99999988,0.9571106,0.9501965
8.63847584,-5.42055911,1.44872015,-0.057273068,0.43854233,0.028595665,4.92860277,-1.26357915,5.35290999,-0.007092851,3.199190409,2.99999986,0.9334728,0.9601635
8.81844409,-5.45595848,1.62517191,-0.057630811,0.44147136,0.003148585,5.03890650,-0.66226827,5.46401817,0.068047013,0.832173022,2.99999984,0.9104280,0.9673784
8.99841234,-5.48952919,1.80198070,-0.057697859,0.44174038,-0.000233191,5.14685178,-0.09101859,5.57274189,0.062589230,-1.154378841,2.99999982,0.8919187,0.9744201
9.17838058,-5.52126408,1.97912819,-0.057840114,0.44278911,0.011596257,5.25259592,0.17441694,5.67924258,0.026264066,-0.889426516,2.99999980,0.8734405,0.9798144
9.35834883,-5.55115499,2.15659614,-0.057846434,0.44651311,0.028740812,5.35629426,0.21286044,5.78367868,0.010083881,-0.032006172,2.99999977,0.8572311,0.9818218
9.53831708,-5.57919549,2.33436584,-0.057822137,0.45341741,0.045997436,5.45810447,0.18766695,5.88621033,0.006583887,-0.174073084,2.99999974,0.8445525,0.9829882
9.71828532,-5.60537922,2.51241849,-0.057661223,0.46331493,0.061046321,5.55816607,0.08880041,5.98697894,-0.020980910,-1.478203241,2.99999970,0.8312944,0.9813311
9.89825357,-5.62970193,2.69073489,-0.057844764,0.47537310,0.069230597,5.65658489,-0.22510422,6.08609172,-0.085410125,-2.429889242,2.99999966,0.8221154,0.9788806
10.07822182,-5.65215961,2.86929577,-0.058165840,0.48768527,0.063682660,5.75340623,-0.76312106,6.18359474,-0.139767714,-0.902491872,2.99999960,0.8144922,0.9738112
10.25819006,-5.67274740,3.04808189,-0.058170881,0.49753533,0.042626412,5.84862163,-1.21335636,6.27947977,-0.113213916,2.593767352,2.99999953,0.8074506,0.9686576
10.43815831,-5.69146370,3.22707361,-0.061201327,0.50270273,0.013134059,5.94232915,-1.34579659,6.37384580,-0.071882505,0.014902354,2.99999944,0.8047954,0.9615037
