s_m,v_ref_mps,kappa_radpm,ax_ref_mps2,ay_ref_mps2,delta_ff_rad,d_left_m,d_right_m,core_bin_id
31.638616,7.795329,-0.021753,-9.025787,-1.3218679057093965,-0.007047855303370725,0.8625,1.3,s7_k0
31.658615,7.772139,-0.0217,-9.027335,-1.3108133385864658,-0.00703068415425233,0.8625,1.3,s7_k0
31.678614,7.748875,-0.021648,-9.028851,-1.2998555403982501,-0.0070138369850500665,0.8625,1.3,s7_k0
31.698613,7.725537,-0.021595,-9.030345,-1.2888742942590785,-0.006996665827727658,0.875,1.2875,s7_k0
31.718612,7.702125,-0.021542,-9.032195,-1.2779302392255936,-0.006979494666279265,0.875,1.2875,s7_k0
31.738612,7.678637,-0.02146,-9.034002,-1.2653130641749228,-0.006952927955554535,0.8875,1.2875,s7_k0
31.758611,7.655071,-0.021378,-9.035766,-1.2527531946575468,-0.006926361235015026,0.8875,1.3,s7_k0
31.77861,7.631429,-0.021296,-9.037487,-1.2402515379631451,-0.006899794504698235,0.8875,1.3,s7_k0
31.798609,7.607708,-0.021215,-9.039583,-1.2278652437963957,-0.00687355174933501,0.9,1.3,s7_k0
31.818608,7.583907,-0.021101,-9.04164,-1.2136376332614787,-0.006836617485015371,0.9,1.2875,s7_k0
31.838607,7.560026,-0.020985,-9.043641,-1.199376545637386,-0.006799035232000638,0.9,1.2875,s7_k0
31.858606,7.536065,-0.020869,-9.045585,-1.1851980012540915,-0.0067614529597793335,0.8875,1.2875,s7_k0
31.878605,7.512021,-0.020754,-9.047896,-1.1711577565551685,-0.006724194653808944,0.8875,1.275,s7_k0
31.898605,7.487894,-0.020603,-9.050181,-1.1551804707075273,-0.00667527284980966,0.9,1.275,s7_k0
31.918604,7.463683,-0.020448,-9.052395,-1.139087819127951,-0.006625055070750939,0.9,1.275,s7_k0
31.938603,7.439388,-0.020293,-9.054539,-1.1231058129785414,-0.006574837258277243,0.9,1.2625,s7_k0
31.958602,7.415007,-0.020138,-9.057042,-1.107234137576767,-0.006524619412641822,0.9125,1.2625,s7_k0
31.978601,7.390538,-0.019943,-9.059538,-1.0892876956289017,-0.0064614420762593465,0.9125,1.25,s7_k0
31.9986,7.365982,-0.019741,-9.061945,-1.07110107456298,-0.006395996781108762,0.9125,1.25,s7_k0
32.018599,7.341337,-0.019539,-9.064264,-1.0530588784065509,-0.006330551431168167,0.925,1.25,s7_k0
