motion_regime,force_curve_region,wheel_speed_bin_mps,median_wheel_speed_mps,median_body_vx_mps,median_slip_speed_mps,median_slip_ratio,slip_ratio_mad,slip_ratio_p10,slip_ratio_p90,samples
steady,pre_extremum,0.0,1.7300521211168243,1.993,-0.16981615196347133,-0.10128402833640703,0.02967231336423895,-0.13901882690645517,-0.020536030764281545,245
steady,pre_extremum,2.0,3.238837297693555,3.7096,-0.2594558782448897,-0.07704617835833324,0.047521917234532,-0.13551647039987744,0.06293943977980095,237
steady,pre_extremum,4.0,5.354890459003734,6.1194,-0.5368095574626013,-0.0919241754453064,0.03379745056100922,-0.13659047308176073,0.04886256465615152,152
steady,pre_extremum,6.0,7.066704953237324,7.3137,-0.7015830926624709,-0.08493731473737949,0.04123942151423614,-0.13923355145238572,0.057653086739027255,139
steady,pre_extremum,8.0,8.617460040929673,9.6632,-0.7122639667807373,-0.07370248178050792,0.041222133553488055,-0.1299650451501791,0.03471038182711648,86
steady,pre_extremum,10.0,10.894191362922422,11.9725,-1.0521147199831162,-0.08787761286140039,0.02753153803590043,-0.12889700931994985,-0.0220252185610329,191
steady,pre_extremum,12.0,13.530978480456348,15.3592,-1.6206988294755789,-0.10552730021783807,0.01665079093564495,-0.1363831687725132,0.07857827147335615,145
steady,pre_extremum,14.0,14.754963856929969,15.3607,-0.6481783291875072,-0.04222137515144752,0.02640591172540203,-0.081193719291617,0.014570554820587079,119
steady,pre_extremum,16.0,17.03802348127803,18.6536,-1.3521598034026177,-0.07279891694273243,0.030651813017435733,-0.12039284109653169,0.0814968549617949,129
steady,pre_extremum,18.0,19.313636088673185,18.6554,-0.04882125639675294,-0.002617018026874558,0.0321179919461836,-0.13310526754292454,0.08074960849419352,91
steady,pre_extremum,20.0,20.808415018872832,19.2847,1.3290383376963142,0.06886371542641907,0.07006452509681836,-0.1054134694982472,0.13168200967701132,135
steady,pre_extremum,22.0,22.470451393775807,22.86975,-0.2688891193840046,-0.011751125470554636,0.015832384542219052,-0.03316433672018885,0.04627060985039106,34
steady,pre_extremum,24.0,24.8543578357553,22.8827,1.9723578357553002,0.08619691616796173,0.019766889464462103,0.06643002670349962,0.10882496004814426,9
traction,asymptotic,0.0,0.0,9.1055,-9.1055,-1.0,0.0,-1.0,-1.0,937
traction,asymptotic,2.0,3.306798185983831,1.9363,1.5176722558901132,0.7958259772556887,0.5232002314578535,-0.37226768795894727,2.3910758336971893,68
