bag_time,time,x,y,yaw,vx,vy,wz
1788879136.3780904,1788879136.3298874,-1.3982,-10.1632,2.864264064021127,0.3194,-0.0393,-0.244
1788879136.4288156,1788879136.379317,-1.4135,-10.1586,2.8523550903347057,0.32,-0.0381,-0.2365
1788879136.4795036,1788879136.4299607,-1.4288,-10.1539,2.8406158021470698,0.3199,-0.0384,-0.2381
1788879136.5300877,1788879136.4815936,-1.4453,-10.1486,2.8280543393595403,0.3202,-0.0375,-0.2329
1788879136.5801039,1788879136.5318377,-1.4592,-10.1439,2.8173340279313095,0.3201,-0.0376,-0.233
1788879136.6320493,1788879136.581455,-1.4759,-10.1381,2.804738968173006,0.3205,-0.0365,-0.2264
1788879136.7032828,1788879136.653146,-1.497,-10.1305,2.788921446752058,0.3205,-0.0365,-0.2264
1788879136.758857,1788879136.7047145,-1.512,-10.1248,2.7773106000928767,0.3201,-0.0374,-0.232
1788879136.8275902,1788879136.777369,-1.5343,-10.1159,2.7604419477122866,0.3205,-0.0364,-0.2254
1788879136.8784413,1788879136.8288233,-1.5492,-10.1098,2.7494171754409726,0.3207,-0.0356,-0.2203
1788879136.92957,1788879136.8800354,-1.5639,-10.1036,2.7383941666035216,0.3208,-0.0355,-0.2198
1788879136.977287,1788879136.9307733,-1.5786,-10.0971,2.72756703255605,0.3209,-0.0349,-0.2163
1788879137.02746,1788879136.9788437,-1.5933,-10.0905,2.7169357503859044,0.321,-0.0347,-0.2153
1788879137.0789125,1788879137.0286145,-1.607,-10.0841,2.70465415112186,0.296,-0.0395,-0.2442
1788879137.1313906,1788879137.0801172,-1.6196,-10.0781,2.6923732021160243,0.2701,-0.0395,-0.2439
1788879137.1838255,1788879137.132833,-1.6332,-10.0713,2.6777699183295263,0.2647,-0.0413,-0.2566
1788879137.252979,1788879137.2028656,-1.6482,-10.0636,2.6604990864562224,0.2418,-0.0405,-0.2509
1788879137.30303,1788879137.254145,-1.658,-10.0583,2.647302409095448,0.2157,-0.0426,-0.2633
1788879137.353711,1788879137.3042877,-1.6674,-10.0531,2.6343015220732453,0.2142,-0.0416,-0.2575
1788879137.4046228,1788879137.3549662,-1.6767,-10.0477,2.6214957335230498,0.2142,-0.0414,-0.2566
1788879137.4536808,1788879137.4058557,-1.6865,-10.0419,2.608198896190781,0.2168,-0.0382,-0.2324
1788879137.5046723,1788879137.4548512,-1.6959,-10.0363,2.596798452832008,0.2392,-0.0399,-0.248
1788879137.553888,1788879137.5063024,-1.7074,-10.0291,2.5833043887213623,0.2645,-0.0424,-0.2634
1788879137.603195,1788879137.5549543,-1.7186,-10.0219,2.5716573273111623,0.2905,-0.0409,-0.2546
1788879137.6546052,1788879137.604385,-1.7316,-10.0134,2.5597621618513147,0.3172,-0.039,-0.2424
1788879137.7029414,1788879137.655692,-1.7448,-10.0045,2.5482470198951845,0.3203,-0.0371,-0.2303
1788879137.7524624,1788879137.7041361,-1.7587,-9.9949,2.5375550085925958,0.3442,-0.035,-0.2174
1788879137.8044164,1788879137.7536569,-1.7729,-9.985,2.527688942376803,0.3474,-0.0317,-0.1969
1788879137.853649,1788879137.8060567,-1.7876,-9.9744,2.5185138836865546,0.3708,-0.0299,-0.1861
1788879137.9026904,1788879137.854789,-1.8027,-9.9634,2.5098490807964895,0.3736,-0.028,-0.1737
1788879137.9544399,1788879137.9039052,-1.8184,-9.9518,2.501880852148912,0.3968,-0.0258,-0.1608
1788879138.0025353,1788879137.9557536,-1.8343,-9.9398,2.4944815403390868,0.3996,-0.0238,-0.1481
1788879138.0522468,1788879138.0039473,-1.8508,-9.9272,2.4873337794815487,0.4222,-0.0234,-0.146
1788879138.1036186,1788879138.053414,-1.8675,-9.9142,2.480755253721043,0.4251,-0.0212,-0.1316
1788879138.1528597,1788879138.10557,-1.8843,-9.901,2.4750644245155686,0.4258,-0.0178,-0.1106
1788879138.2039607,1788879138.1559355,-1.901,-9.8878,2.46974786464569,0.4259,-0.0171,-0.106
1788879138.2546966,1788879138.2050533,-1.9182,-9.874,2.4646882304699362,0.448,-0.0164,-0.1018
1788879138.3045187,1788879138.2565205,-1.9371,-9.8587,2.459375369567156,0.4509,-0.0151,-0.0915
1788879138.353556,1788879138.3057978,-1.9542,-9.8447,2.45487941091452,0.4512,-0.0142,-0.0883
1788879138.4045732,1788879138.354934,-1.9705,-9.8312,2.450831181595215,0.4512,-0.014,-0.0871
1788879138.4539578,1788879138.4059417,-1.9889,-9.8159,2.4462145927156267,0.4512,-0.014,-0.087
1788879138.50349,1788879138.4558427,-2.0062,-9.8014,2.44191004509254,0.4511,-0.0142,-0.0885
1788879138.5539503,1788879138.5046687,-2.0224,-9.7877,2.4376710469825795,0.4511,-0.0145,-0.0899
1788879138.6036873,1788879138.5552704,-2.0395,-9.773,2.4325429452581546,0.4509,-0.0164,-0.1017
1788879138.652974,1788879138.604995,-2.0566,-9.7583,2.4274136092773055,0.4508,-0.0168,-0.1038
1788879138.7075062,1788879138.6544511,-2.0736,-9.7434,2.422100933450363,0.4508,-0.017,-0.1052
1788879138.7776067,1788879138.7278655,-2.0989,-9.721,2.4141874394347163,0.4508,-0.0171,-0.1059
1788879138.8284914,1788879138.7786934,-2.1157,-9.7059,2.4088038821956217,0.4507,-0.0174,-0.108
1788879138.8787532,1788879138.8296425,-2.1324,-9.6908,2.403489241271217,0.4507,-0.0172,-0.1066
1788879138.9289827,1788879138.8799272,-2.149,-9.6755,2.3982918518873335,0.4508,-0.0169,-0.1045
1788879138.977541,1788879138.930072,-2.1655,-9.6602,2.392977910328532,0.4508,-0.0168,-0.1038
1788879139.0288382,1788879138.9793184,-2.182,-9.6448,2.3879631908963073,0.4508,-0.0165,-0.1024
1788879139.0777237,1788879139.030064,-2.1984,-9.6293,2.383024562064626,0.4509,-0.016,-0.0989
1788879139.1278365,1788879139.0792735,-2.2147,-9.6137,2.3778975775024493,0.4508,-0.0161,-0.0996
1788879139.1781025,1788879139.1294644,-2.2309,-9.5981,2.373144974887179,0.4509,-0.0159,-0.0982
1788879139.227583,1788879139.1793802,-2.2471,-9.5823,2.3682053391485733,0.4509,-0.0154,-0.0955
1788879139.278619,1788879139.2288868,-2.2631,-9.5665,2.3636350649381157,0.4509,-0.0151,-0.0934
1788879139.3276505,1788879139.279142,-2.2792,-9.5506,2.358621066719784,0.4508,-0.0161,-0.0996
1788879139.3778207,1788879139.3290155,-2.2951,-9.5347,2.3536805706610355,0.4508,-0.0162,-0.1003
1788879139.4309485,1788879139.3790684,-2.3116,-9.518,2.348478782303376,0.4509,-0.0156,-0.0962
1788879139.4803522,1788879139.4325724,-2.3279,-9.5012,2.343464209557631,0.4509,-0.0153,-0.0948
1788879139.5293615,1788879139.4820695,-2.3436,-9.485,2.338893055656641,0.4509,-0.0152,-0.0941
1788879139.5795004,1788879139.5304644,-2.358,-9.47,2.334137835626821,0.4508,-0.0163,-0.101
1788879139.6283476,1788879139.5809479,-2.3735,-9.4537,2.3291242036161504,0.4508,-0.0163,-0.101
1788879139.6796284,1788879139.6299074,-2.3884,-9.4378,2.3221320985761746,0.4277,-0.0233,-0.1437
1788879139.7303271,1788879139.6809895,-2.4032,-9.4218,2.3134369860805806,0.4007,-0.0272,-0.1686
1788879139.7794302,1788879139.7315207,-2.4163,-9.4073,2.304479971160748,0.3757,-0.0285,-0.1775
1788879139.8281517,1788879139.7807448,-2.4277,-9.3945,2.2958880964925625,0.3731,-0.0298,-0.1844
1788879139.8802907,1788879139.8297176,-2.44,-9.3804,2.2871162997130394,0.3731,-0.0287,-0.1773
1788879139.9285243,1788879139.8813827,-2.4534,-9.3647,2.278076545474814,0.3966,-0.0254,-0.1539
1788879139.9784253,1788879139.9298081,-2.4655,-9.3504,2.2712755180509356,0.3993,-0.0234,-0.1449
1788879140.0313509,1788879139.9799492,-2.4788,-9.3345,2.265287217870623,0.4224,-0.0196,-0.1217
1788879140.1026201,1788879140.052961,-2.4999,-9.3089,2.257590823878386,0.4498,-0.0168,-0.1043
1788879140.1529107,1788879140.1040008,-2.5141,-9.2914,2.25275673928733,0.451,-0.0151,-0.0941
1788879140.2027497,1788879140.1541772,-2.5283,-9.2738,2.2482866276218973,0.4512,-0.0145,-0.0899
1788879140.2536666,1788879140.2039661,-2.5424,-9.2562,2.2447095011311258,0.4513,-0.0118,-0.0732
1788879140.3044257,1788879140.2547705,-2.5564,-9.2385,2.241397982179643,0.4514,-0.0104,-0.0648
1788879140.3541446,1788879140.3056903,-2.5709,-9.2202,2.2385366320227194,0.4733,-0.0094,-0.0585
1788879140.4038663,1788879140.3555188,-2.5856,-9.2015,2.2358526510499273,0.4762,-0.0087,-0.0544
1788879140.4524772,1788879140.4052188,-2.6002,-9.1827,2.2327198873989142,0.4765,-0.0099,-0.0618
1788879140.5036268,1788879140.453955,-2.6148,-9.1639,2.2295910945459867,0.4765,-0.0097,-0.0603
1788879140.5543268,1788879140.5049794,-2.6294,-9.145,2.226280022333852,0.4764,-0.0107,-0.0662
1788879140.6027074,1788879140.555707,-2.6439,-9.1261,2.2229677957961624,0.4764,-0.0108,-0.0669
1788879140.65349,1788879140.6039631,-2.6578,-9.1077,2.2195681156288476,0.4544,-0.0113,-0.0701
1788879140.7030954,1788879140.65462,-2.6715,-9.0896,2.215991891660932,0.4516,-0.0109,-0.0676
1788879140.753479,1788879140.7041767,-2.685,-9.0716,2.212414309973037,0.4512,-0.012,-0.0745
1788879140.802569,1788879140.7545135,-2.6984,-9.0534,2.208835328414276,0.4511,-0.0117,-0.0724
1788879140.8522985,1788879140.8038726,-2.7118,-9.0353,2.2048090172111676,0.4511,-0.0127,-0.0787
1788879140.903767,1788879140.8533933,-2.7251,-9.0171,2.200961127749042,0.4511,-0.0126,-0.078
