time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
72.546690,1.692304,0.437116,0.708760,16.785469,-4.776012,0.703623,15.968104,0.005137,16.788248,-4.772318,0.704330,15.969525,0.004431,16.802146,-4.760492,0.704625,15.978813,0.004136
73.617147,1.785825,0.520823,0.747748,16.877049,-4.699443,0.741565,15.968601,0.006182,16.883492,-4.689362,0.744486,15.971398,0.003262,16.896837,-4.676498,0.744756,15.979826,0.002992
74.680942,1.880240,0.612317,0.787522,16.980471,-4.597567,0.785447,15.973725,0.002074,16.974830,-4.601547,0.783890,15.969691,0.003632,16.988821,-4.588220,0.784199,15.978574,0.003323
75.717188,1.966279,0.702274,0.824516,17.066289,-4.509664,0.822889,15.974185,0.001627,17.061323,-4.514594,0.820235,15.971101,0.004281,17.075886,-4.498098,0.821462,15.979489,0.003054
76.784950,2.049057,0.795508,0.860937,17.149710,-4.416811,0.858844,15.974917,0.002093,17.144151,-4.421956,0.856677,15.971343,0.004260,17.158478,-4.406067,0.857510,15.979705,0.003427
77.814299,2.127106,0.889864,0.895825,17.223781,-4.324091,0.893699,15.971691,0.002126,17.220897,-4.329702,0.890972,15.970798,0.004853,17.235976,-4.313292,0.892294,15.979700,0.003531
78.886375,2.207541,0.994610,0.932934,17.303114,-4.230990,0.925012,15.974456,0.007922,17.306211,-4.226888,0.926741,15.976041,0.006193,17.317118,-4.208759,0.929213,15.980437,0.003721
79.985701,2.286847,1.106274,0.970744,17.393837,-4.113394,0.965463,15.983306,0.005280,17.387742,-4.120697,0.963462,15.979932,0.007282,17.396652,-4.097947,0.967134,15.980930,0.003609
81.006764,2.354745,1.209542,1.004074,17.464646,-4.014881,0.997490,15.987611,0.006583,17.458435,-4.017600,0.996991,15.982630,0.007083,17.465525,-3.994322,1.000903,15.981737,0.003170
82.038836,2.417260,1.311908,1.036148,17.515980,-3.926491,1.026916,15.981620,0.009232,17.522309,-3.917678,1.029129,15.984714,0.007019,17.528071,-3.893157,1.033185,15.982157,0.002964
83.089749,2.478859,1.420194,1.068601,17.586812,-3.809713,1.060452,15.987563,0.008149,17.585757,-3.807984,1.061897,15.986000,0.006703,17.589969,-3.785424,1.065708,15.982619,0.002893
84.108093,2.535889,1.528473,1.100096,17.637331,-3.701186,1.094688,15.981329,0.005407,17.641575,-3.697342,1.094994,15.984083,0.005101,17.647856,-3.676719,1.097124,15.983290,0.002971
85.207945,2.590901,1.641436,1.131987,17.688761,-3.582174,1.130624,15.975965,0.001363,17.693790,-3.580058,1.130097,15.980026,0.001889,17.704232,-3.562104,1.129405,15.984041,0.002581
86.258415,2.646931,1.766704,1.166139,17.745073,-3.469311,1.160056,15.980292,0.006083,17.748674,-3.460504,1.162396,15.980812,0.003744,17.759467,-3.439809,1.162769,15.984258,0.003371
87.285095,2.773279,2.102652,1.253058,17.871719,-3.137523,1.242406,15.981937,0.010652,17.865132,-3.133499,1.245773,15.974395,0.007285,17.881977,-3.121711,1.242851,15.986454,0.010207
88.310898,2.269468,1.488781,0.708834,17.994665,-2.661071,1.261946,16.263551,0.553112,18.003585,-2.666046,1.257805,16.273445,0.548971,18.014804,-2.644876,1.259561,16.278904,0.550726
89.395920,2.359254,1.568266,0.738846,18.069496,-2.557453,0.956971,16.242945,0.218125,18.059211,-2.562961,0.965974,16.234398,0.227128,18.070635,-2.546075,0.956620,16.241160,0.217774
90.478652,2.446632,1.651069,0.773676,18.135690,-2.474176,0.865075,16.222336,0.091399,18.139233,-2.469155,0.855546,16.224487,0.081870,18.145046,-2.452775,0.849586,16.225959,0.075910
91.504369,2.534340,1.740438,0.813082,18.223446,-2.370855,0.843053,16.218840,0.029971,18.221545,-2.375960,0.843472,16.218296,0.030390,18.228133,-2.359634,0.841858,16.220534,0.028776
92.529766,2.620738,1.835885,0.853469,18.298482,-2.284120,0.862249,16.210061,0.008779,18.303437,-2.278656,0.863878,16.213466,0.010408,18.312196,-2.263737,0.862766,16.218160,0.009297
93.566017,2.699208,1.929769,0.891164,18.376872,-2.191101,0.891528,16.210204,0.000365,18.381089,-2.185404,0.893485,16.212835,0.002321,18.390046,-2.170140,0.893024,16.217633,0.001860
94.648746,2.777181,2.030624,0.929294,18.456990,-2.089948,0.926157,16.212204,0.003138,18.459874,-2.085886,0.927922,16.213961,0.001372,18.468337,-2.069368,0.927923,16.217963,0.001371
95.717808,2.851419,2.134336,0.966280,18.539261,-1.982229,0.964870,16.218955,0.001410,18.534644,-1.981719,0.963811,16.214359,0.002470,18.543956,-1.964533,0.963292,16.219015,0.002988
96.733811,2.918820,2.235974,1.000566,18.599642,-1.882031,0.998890,16.212530,0.001675,18.602964,-1.878882,0.998898,16.214944,0.001668,18.611665,-1.863358,0.997420,16.219430,0.003146
97.843632,2.988211,2.348922,1.036593,18.673136,-1.762846,1.036001,16.214916,0.000593,18.668853,-1.768116,1.034787,16.212110,0.001806,18.679441,-1.754087,1.032771,16.218797,0.003823
98.868584,3.047480,2.453265,1.068379,18.736047,-1.657347,1.066735,16.218147,0.001644,18.730900,-1.663059,1.066243,16.214617,0.002135,18.740059,-1.648647,1.065304,16.219825,0.003075
99.936399,3.107677,2.567589,1.101464,18.801660,-1.546984,1.096865,16.224389,0.004599,18.794612,-1.551073,1.096754,16.218610,0.004710,18.800350,-1.535306,1.098548,16.220164,0.002915
