stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1788158631.093826,5.579087,10.203840,-0.721084,-0.706948,9.746592,-0.707554,-0.700773,0.457448,0.006174,9.753200,-0.686431,-0.721296,0.451971,0.014348,9.906684,-0.597487,-0.706948,0.321836,0.000000,0.002954
1788158631.149676,5.634937,10.203638,-0.720990,-0.707067,9.746592,-0.707554,-0.700773,0.457243,0.006293,9.752741,-0.687814,-0.719402,0.452116,0.012335,9.906684,-0.597487,-0.707067,0.321613,0.000000,0.003932
1788158631.263052,5.748313,10.203846,-0.721284,-0.706947,9.746592,-0.707554,-0.700773,0.457460,0.006174,9.754619,-0.691189,-0.717351,0.450234,0.010404,9.909216,-0.599650,-0.706947,0.318750,0.000000,0.003166
1788158631.364003,5.849264,10.222592,-0.737379,-0.707654,9.780579,-0.736540,-0.695885,0.442014,0.011769,9.776231,-0.711611,-0.715712,0.447104,0.008058,9.930597,-0.617928,-0.707654,0.315483,0.000000,0.244959
1788158631.465338,5.950598,10.260081,-0.769469,-0.708067,9.830136,-0.779203,-0.688334,0.430055,0.019733,9.818746,-0.749822,-0.713110,0.441772,0.005043,9.972297,-0.653616,-0.708067,0.310227,0.000000,0.486853
1788158631.576845,6.062106,10.338342,-0.836660,-0.709135,9.942076,-0.871268,-0.684482,0.397774,0.024654,9.922850,-0.840341,-0.710880,0.415508,0.001745,10.074847,-0.741511,-0.709135,0.280148,0.000000,0.924577
1788158631.678617,6.163878,10.447431,-0.930120,-0.707471,10.079392,-0.982160,-0.677209,0.371700,0.030262,10.054652,-0.952867,-0.705586,0.393437,0.001884,10.204067,-0.852199,-0.707471,0.255534,0.000000,1.411371
1788158631.779987,6.265248,10.587023,-1.048958,-0.703788,10.235414,-1.106614,-0.669026,0.356305,0.034762,10.205745,-1.079215,-0.698085,0.382477,0.005703,10.351415,-0.977733,-0.703788,0.246138,0.000000,1.809411
1788158631.881062,6.366323,10.729077,-1.170029,-0.707652,10.388879,-1.227149,-0.669454,0.344961,0.038197,10.354635,-1.201784,-0.698067,0.375787,0.009585,10.495467,-1.100482,-0.707652,0.243743,0.000000,1.846932
1788158631.979005,6.464266,10.864655,-1.288376,-0.729261,10.533689,-1.342615,-0.688082,0.335381,0.041178,10.495225,-1.318688,-0.715805,0.370671,0.013455,10.630272,-1.218346,-0.729261,0.244622,0.000000,1.836887
1788158632.080002,6.565263,10.968155,-1.385990,-0.791260,10.636233,-1.430714,-0.747720,0.334922,0.043540,10.593992,-1.405980,-0.774061,0.374697,0.017198,10.722889,-1.306421,-0.791260,0.257850,0.000000,1.408824
1788158632.183101,6.668362,11.031979,-1.455676,-0.872449,10.672685,-1.462938,-0.825133,0.359367,0.047316,10.625879,-1.435254,-0.851513,0.406613,0.020936,10.749094,-1.335181,-0.872449,0.307479,0.000000,0.924098
