time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
103.229798,-0.266446,-0.185328,0.194030,-0.249439,-0.171386,0.209802,0.021991,0.015771,-0.263452,-0.161017,0.212911,0.024495,0.018880,1.647053,1.000309,0.229070,2.251047,0.035040
104.331953,1.682587,-0.123815,0.000126,1.689679,-0.098657,0.000573,0.026138,0.000447,1.682323,-0.088178,0.002920,0.035637,0.002795,3.581679,1.122469,0.024235,2.271513,0.024109
105.381004,5.287273,-0.222353,-0.045920,5.348735,-0.244650,-0.066655,0.065382,0.020735,5.350305,-0.232048,-0.062927,0.063774,0.017006,7.249418,1.085507,-0.035068,2.358074,0.010852
106.467718,8.631950,-0.402309,-0.098936,8.732246,-0.548768,-0.136515,0.177509,0.037579,8.745826,-0.528877,-0.129727,0.170257,0.030792,10.657657,0.927559,-0.091745,2.423229,0.007191
107.467791,9.625116,-0.609855,-0.356390,9.643819,-0.797680,-0.392725,0.188754,0.036335,9.680427,-0.778013,-0.378577,0.177021,0.022187,11.618474,0.749149,-0.325022,2.412544,0.031368
108.533288,10.494571,-1.103181,-0.746542,10.442750,-1.365840,-0.811039,0.267722,0.064497,10.518046,-1.344817,-0.795537,0.242773,0.048995,12.532061,0.269224,-0.713998,2.456596,0.032544
109.584098,10.946597,-2.163488,-1.621662,10.839992,-2.450882,-1.641690,0.306528,0.020027,10.886602,-2.440984,-1.640809,0.283907,0.019147,13.052437,-0.765648,-1.540529,2.527552,0.081133
110.634263,10.631262,-2.938644,-2.301130,10.425083,-3.236738,-2.337624,0.362450,0.036494,10.485619,-3.248717,-2.347204,0.342574,0.046074,12.773156,-1.604694,-2.246705,2.523318,0.054426
111.652983,10.072087,-3.286217,-2.841363,9.830664,-3.543996,-2.852734,0.353179,0.011371,9.882790,-3.561999,-2.865806,0.334498,0.024444,12.241447,-1.978209,-2.777898,2.533182,0.063465
112.683124,9.308221,-3.325704,2.974072,9.053976,-3.575567,2.944733,0.356472,0.029339,9.081469,-3.583135,2.932210,0.343055,0.041862,11.474171,-2.067114,3.005370,2.505073,0.031298
113.688613,9.228514,-3.309752,2.923010,8.970812,-3.557551,2.886452,0.357512,0.036558,8.997542,-3.563909,2.885621,0.343430,0.037388,11.402740,-2.054629,2.945096,2.510495,0.022086
114.753976,9.100056,-3.275832,2.852485,8.831728,-3.519715,2.812440,0.362600,0.040045,8.854024,-3.522857,2.812397,0.348644,0.040089,11.268440,-2.022027,2.863599,2.504779,0.011113
115.774117,8.967889,-3.231518,2.792665,8.692843,-3.473403,2.756586,0.366277,0.036079,8.713137,-3.473862,2.754971,0.351610,0.037695,11.134130,-1.978929,2.800778,2.502315,0.008112
116.791066,8.849466,-3.185097,2.748521,8.570026,-3.427299,2.716405,0.369796,0.032115,8.588489,-3.425686,2.714314,0.354953,0.034207,11.015616,-1.933665,2.754512,2.501657,0.005991
117.811717,8.729151,-3.132229,2.711800,8.456912,-3.381154,2.686719,0.368887,0.025081,8.461778,-3.372720,2.681404,0.359617,0.030396,10.895246,-1.881796,2.716221,2.501110,0.004421
118.813469,8.100389,-2.797560,2.624377,7.836773,-3.053110,2.600769,0.367149,0.023608,7.854150,-3.043352,2.597640,0.347918,0.026737,10.286393,-1.566352,2.627430,2.508882,0.003053
119.894207,6.020223,-2.034088,3.004050,5.940114,-2.267053,2.955939,0.246354,0.048111,5.955761,-2.246640,2.954284,0.222112,0.049765,8.382092,-0.800387,2.974880,2.664666,0.029170
120.915400,4.293295,-2.285422,-2.811994,4.178388,-2.433504,-2.850032,0.187435,0.038038,4.185422,-2.414308,-2.852660,0.168072,0.040666,6.623255,-0.979098,-2.838243,2.671179,0.026249
121.995095,1.640990,-3.150265,-2.976385,1.680171,-3.223813,-2.995403,0.083334,0.019018,1.679152,-3.209596,-2.994685,0.070545,0.018300,4.125902,-1.781360,-2.986022,2.837021,0.009637
123.063689,0.772525,-3.275980,-3.038202,1.281786,-3.271751,-3.034501,0.509278,0.003701,1.292560,-3.267922,-3.038594,0.520098,0.000392,3.735177,-1.830924,-3.036901,3.296285,0.001302
124.096602,-0.890641,-3.294928,2.952912,-0.452097,-3.352885,3.010391,0.442358,0.057479,-0.419511,-3.335033,2.988405,0.472835,0.035493,2.036862,-1.865232,2.967513,3.257961,0.014601
125.130525,-1.786438,-2.824290,2.354729,-1.434187,-2.980278,2.463074,0.385244,0.108345,-1.385124,-2.957826,2.450674,0.422948,0.095945,1.117323,-1.424530,2.399922,3.223532,0.045193
126.134785,-2.181860,-2.054337,1.735971,-1.961704,-2.252266,1.855909,0.296048,0.119938,-1.909638,-2.240659,1.858077,0.329879,0.122106,0.671984,-0.663570,1.795475,3.174691,0.059504
127.186276,-2.125226,-1.374367,1.219146,-2.005967,-1.540756,1.320403,0.204715,0.101257,-1.966730,-1.542117,1.330354,0.230783,0.111208,0.688737,0.039379,1.273171,3.149137,0.054025
128.208653,-1.047559,-0.416408,0.331941,-1.061972,-0.462955,0.464759,0.048728,0.132818,-1.046171,-0.457964,0.480571,0.041579,0.148630,1.676905,1.078523,0.436422,3.107655,0.104481
129.268976,0.347378,-0.210903,-0.007393,0.346460,-0.139680,0.055212,0.071229,0.062605,0.350421,-0.116779,0.068593,0.094173,0.075986,3.084759,1.395846,0.047010,3.174099,0.054403
130.325996,3.622630,-0.259053,-0.121231,3.670216,-0.133344,-0.080965,0.134414,0.040265,3.675186,-0.097842,-0.071218,0.169561,0.050012,6.410573,1.429719,-0.071472,3.259536,0.049758
131.375818,6.885250,-0.627816,-0.332946,7.020317,-0.517352,-0.440174,0.174486,0.107228,7.035059,-0.469343,-0.428724,0.218073,0.095778,9.781939,1.167062,-0.405920,3.407696,0.072974
132.453477,8.568549,-0.687506,0.102239,8.660531,-0.798541,0.039376,0.144186,0.062864,8.678464,-0.757437,0.043565,0.130275,0.058675,11.445101,0.990533,0.083960,3.330221,0.018279
133.526624,9.974097,-0.729296,-0.348908,10.084104,-0.930666,-0.407945,0.229459,0.059036,10.118834,-0.905094,-0.397019,0.227714,0.048110,12.907655,0.948313,-0.341835,3.379369,0.007074
134.538543,10.589493,-1.207422,-0.942742,10.637341,-1.430329,-0.968924,0.227985,0.026182,10.685565,-1.410792,-0.956772,0.224920,0.014031,13.532855,0.504216,-0.882964,3.404863,0.059777
135.551943,10.835759,-2.217987,-1.733315,10.842536,-2.451659,-1.745194,0.233770,0.011879,10.888487,-2.448700,-1.739150,0.236661,0.005835,13.856192,-0.498439,-1.648398,3.475610,0.084917
136.598456,10.440544,-2.995003,-2.360339,10.342856,-3.226236,-2.378377,0.251021,0.018039,10.415760,-3.243236,-2.391574,0.249467,0.031235,13.508093,-1.334112,-2.297821,3.488326,0.062518
137.658018,9.621413,-3.374972,-3.019545,9.485197,-3.596600,-3.007757,0.260143,0.011788,9.542013,-3.605617,-3.022819,0.243929,0.003274,12.713069,-1.772483,-2.945202,3.482285,0.074343
138.745388,9.185668,-3.369744,2.998173,9.027114,-3.599535,2.980985,0.279184,0.017188,9.057425,-3.601059,2.964390,0.264487,0.033783,12.259625,-1.798174,3.022121,3.452396,0.023948
