stamp_s,dt_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_raw_mps,wheel_mapped_mps,wheel_packet_mps,wheel_update_used,wheel_burst_rejected,turn_mode,reset_epoch,timing_degraded,sensor_outlier,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad,gt_speed_mps,gt_x_m,gt_y_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_longitudinal_accel_mps2
1789002844.5287876,0.05033755302429199,3.4597953564157766,3.5266644265194165,3.5266644265194165,0.0,2.1196401356072445,0.3424988138405114,3.6033246951683835,3.5384648506553527,3.755132870856479,True,False,False,False,False,False,41.3709,41.649,2.0336,-1.0038,-0.2685,0.18608531667651507,3.624190922123171,1.1596,0.8738,-1.3846553996205295,3.624,-0.0372,2.9288133951857915
1789002844.5798192,0.05103158950805664,3.647047946168922,3.687670956171367,3.687670956171367,0.0,2.3047619152042547,0.3763298808216154,3.762565909004467,3.694839722642387,3.8931503391371804,True,False,False,False,False,False,44.7415,45.0131,2.359,-0.8373,-0.2162,0.17542603228186546,3.792719442563608,1.1932,0.6909,-1.395314684015179,3.7926,-0.0301,3.3024352575541425
1789002844.6284337,0.048614501953125,3.775886831415508,3.797133116522854,3.797133116522854,0.0,2.486752122171351,0.407235382961518,3.870552404229697,3.800882460953562,4.205954844444442,True,False,False,False,False,False,48.2104,48.4754,1.8146,-1.1884,-0.2966,0.16100358432237694,3.922914259832861,1.2258,0.5004,-1.4097371319746677,3.9227,-0.041,2.678119708153864
1789002844.6791654,0.050731658935546875,3.894938681784695,3.9976425975187055,3.9976425975187055,0.0,2.6870878947722394,0.438799191601965,4.089375578352703,4.015766817942354,4.175046794134899,True,False,False,False,False,False,51.8036,52.0621,1.9279,-0.7406,-0.1811,0.1515362732133947,4.058980100961325,1.257,0.3029,-1.41920444308365,4.0589,-0.0255,2.6820570139271163
1789002844.729015,0.049849748611450195,4.0956870830877055,4.092291840775294,4.092291840775294,0.0,2.8889453694596323,0.4682855523794642,4.166693157196764,4.091692680367221,4.399930914588802,True,False,False,False,False,False,55.5244,55.7764,1.9668,-1.1613,-0.2718,0.13856226769867575,4.196266670506058,1.2871,0.0983,-1.4321784485983688,4.1961,-0.0374,2.7540072591900637
1789002844.778248,0.04923295974731445,4.199570460064693,4.26245032030924,4.26245032030924,0.0,3.0969381725309484,0.49616555211179736,4.351880617346994,4.273546766234748,4.629537837453148,True,False,False,False,False,False,59.3892,59.6379,2.179,-0.9091,-0.2074,0.127935401499782,4.346595413654232,1.3157,-0.1138,-1.4428053147972626,4.3465,-0.0288,3.05341673382481
1789002844.8280518,0.049803733825683594,4.3994504313169305,4.4407236671026595,4.4407236671026595,0.0,3.316571154858181,0.5221490468143528,4.52953887912438,4.4480071793001414,4.921510520835641,True,False,False,False,False,False,63.5485,63.7874,2.7508,-0.5366,-0.4145,0.10757824263877747,4.494141475298703,1.3433,-0.3423,-1.4631624736582671,4.4938,-0.0554,2.962550200771937
1789002844.879758,0.05170607566833496,4.548406740289534,4.595216101749469,4.595216101749469,0.0,3.553022417964902,0.5454908814005491,4.687858021691673,4.6034765773012225,4.518332652018942,True,False,False,False,False,False,67.5115,67.7439,2.0826,-1.807,-0.3861,0.08921877719851823,4.631891898565855,1.3652,-0.5607,-1.4815219390985264,4.6316,-0.052,2.664092881105494
1789002844.9282875,0.048529624938964844,4.774825121191673,4.774825121191673,4.774825121191673,0.0,3.7840961741367396,0.562791068757133,4.862347373922273,4.774825121191673,5.168162752451516,True,False,True,False,False,False,71.7658,71.9916,2.0224,-2.9695,-0.6124,0.06023974689919177,4.768386320339408,1.3835,-0.7952,-1.5105009693978528,4.7677,-0.0809,2.8125999725986004
1789002844.9785185,0.050230979919433594,4.85389219755027,4.85389219755027,4.85389219755027,0.0,4.027623608762025,0.5746449349490685,4.942863744959541,4.85389219755027,5.162193738125345,True,False,True,False,False,False,76.164,76.3833,2.2505,-2.2569,-0.4558,0.03703485887622415,4.920278143560585,1.3957,-1.0375,-1.5337058574208204,4.9199,-0.061,3.0238817640904934
1789002845.0279012,0.049382686614990234,4.966101020956381,4.966101020956381,4.966101020956381,0.0,4.272791421565644,0.5805704717526133,5.05712934924275,4.966101020956381,5.405291171804602,True,False,True,False,False,False,80.6931,80.9026,2.1782,-2.6916,-0.5243,0.011294351457939333,5.065374073057191,1.4024,-1.2874,-1.5594463648391053,5.0649,-0.0693,2.9381943236065493
1789002845.077945,0.05004382133483887,5.210081631287248,5.210081631287248,5.210081631287248,0.0,4.5335220457918775,0.5815312141517234,5.305582109253817,5.210081631287248,5.4843763461550505,True,False,True,False,False,False,85.3466,85.5528,2.2099,-1.4558,-0.2805,-0.0039247679750904485,5.21054446291364,1.4034,-1.5446,-1.574665484272135,5.2104,-0.0388,2.9008654012475805
1789002845.1279182,0.049973249435424805,5.298232477525214,5.298232477525214,5.298232477525214,0.0,4.798261355459894,0.5775070069301259,5.395348755117325,5.298232477525214,5.530728001931264,True,False,True,False,False,False,90.0328,90.2357,2.1645,-2.6831,-0.4956,-0.02647417297441379,5.347287814397126,1.4002,-1.8036,-1.5972148892714584,5.3469,-0.0644,2.7363309976507537
1789002845.1772816,0.04936337471008301,5.486868921832539,5.486868921832539,5.486868921832539,0.0,5.068917576142659,0.5672536524186832,5.587442893923155,5.486868921832539,5.931568733289872,True,False,True,False,False,False,94.9972,95.1968,2.6312,-2.507,-0.4512,-0.04925624021567332,5.516011280807899,1.3905,-2.0753,-1.619996956512718,5.5157,-0.0586,3.417988891596373
1789002845.2270916,0.049809932708740234,5.642145247764646,5.642145247764646,5.642145247764646,0.0,5.349293229612378,0.548015825684776,5.745565425422247,5.642145247764646,6.0391870384361255,True,False,True,False,False,False,100.0957,100.2953,2.2594,-5.2141,-0.9026,-0.08775794969688186,5.658602578375689,1.373,-2.3543,-1.6584986659939265,5.6575,-0.1117,2.8627080948207886
1789002845.277658,0.05056643486022949,5.793060469266059,5.793060469266059,5.793060469266059,0.0,5.6406107988941825,0.5172807441424685,5.899246913712892,5.793060469266059,6.094043427260945,True,False,True,False,False,False,105.3219,105.515,2.3195,-3.9299,-0.6735,-0.12247172862784317,5.810323235414705,1.3437,-2.6398,-1.6932124449248878,5.8097,-0.0851,3.0004222654491404
1789002845.3270023,0.04934430122375488,6.00659462084482,6.00659462084482,6.00659462084482,0.0,5.934036263757449,0.4754567261148271,6.116695133243198,6.00659462084482,6.403345313721647,True,False,True,False,False,False,110.6757,110.872,2.1995,-4.6933,-0.7824,-0.16069508986992329,5.952796885498446,1.3034,-2.9313,-1.731435806166968,5.952,-0.0974,2.887337474649514
1789002845.3778973,0.050894975662231445,6.212136020925667,6.212136020925667,6.212136020925667,0.0,6.2460481498946265,0.4243700745943213,6.326004094628988,6.212136020925667,6.48148261606884,True,False,True,False,False,False,116.2717,116.4582,2.3981,1.5254,0.2277,-0.16389086508945838,6.0997209846024925,1.2522,-3.2346,-1.734631581386503,6.0997,0.016,2.886809497250173
1789002845.4298716,0.05197429656982422,6.288548169312163,6.288548169312163,6.288548169312163,0.0,6.568900014199528,0.37344921658715907,6.403816873026643,6.288548169312163,6.328211668206754,True,False,True,False,False,False,121.8447,122.0345,2.0251,1.9729,0.3096,-0.14897590795177695,6.227863393652754,1.2033,-3.5392,-1.7197166242488215,6.2278,0.0281,2.4654957836343265
1789002845.4784198,0.048548221588134766,6.46062247775466,6.46062247775466,6.46062247775466,0.0,6.879869500817237,0.3325177231123351,6.579045293029185,6.46062247775466,6.94985910838105,True,False,True,False,False,False,127.565,127.7516,1.7463,7.4937,1.0321,-0.11277027363154149,6.346041325109694,1.1598,-3.8508,-1.683510989928586,6.3451,0.1093,2.434238116063617
1789002845.528293,0.04987311363220215,6.609149568166025,6.609149568166025,6.609149568166025,0.0,7.207558044681213,0.2968972797814836,6.730294875932816,6.609149568166025,6.935586627915274,True,False,True,False,False,False,133.4261,133.6159,2.5746,-1.9371,-0.2673,-0.10378371629009231,6.494353659141146,1.1265,-4.1703,-1.674524432587137,6.4943,-0.0264,2.973807573679645
1789002845.580225,0.05193209648132324,6.771789934401331,6.771789934401331,6.771789934401331,0.0,7.556892664234304,0.2564078107984713,6.895916430143921,6.771789934401331,6.807391265768368,True,False,True,False,False,False,139.4147,139.6111,2.3975,-3.3863,-0.504,-0.12699562405813603,6.642016275198368,1.0899,-4.4969,-1.6977363403551806,6.6418,-0.0536,2.843365628405422
