stamp_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_update_used,turn_mode,reset_epoch,timing_degraded
1789484703.7768278,13.587425492477424,13.587425492477424,13.587425492477424,0,34.823888055515823,0.0042952875166105157,0,0,0,0
1789484703.8018279,13.6294931529522,13.6294931529522,13.6294931529522,0,35.164100833775422,0.0043374459310781873,0,0,0,0
1789484703.8268282,13.670596201729781,13.670596201729781,13.670596201729781,0,35.505356504282808,0.0043797335784449068,0,0,0,0
1789484703.8518283,13.711246356797226,13.711246356797226,13.711246356797226,0,35.847630839304479,0.0044221474564635618,0,0,0,0
1789484703.8768277,13.751280364108093,13.751280364108093,13.751280364108093,0,36.190903908830634,0.0044646850954514509,0,0,0,0
1789484703.9018278,13.791618017983444,13.791618017983444,13.791618017983444,0,36.535191449311142,0.0045073484454346115,0,0,0,0
1789484703.9268281,13.830753540492065,13.830753540492065,13.830753540492065,0,36.880475701121668,0.0045501353056797041,0,0,0,0
1789484703.951828,13.871058309865004,13.871058309865004,13.871058309865004,0,37.226746365204548,0.0045930443999502987,0,0,0,0
1789484703.9768283,13.910961342620856,13.910961342620856,13.910961342620856,0,37.574026244819031,0.0046360785539758097,0,0,0,0
1789484704.0018277,13.949612884211547,13.949612884211547,13.949612884211547,0,37.922274784758571,0.0046792327422448057,0,0,0,0
1789484704.0268278,13.989200535225875,13.989200535225875,13.989200535225875,0,38.27151128204661,0.0047225093560017192,0,0,0,0
1789484704.0518281,14.027118541479117,14.027118541479117,14.027118541479117,0,38.621719943544278,0.0047659064381957378,0,0,0,0
1789484704.0768282,14.065501187896736,14.065501187896736,14.065501187896736,0,38.97287902702584,0.0048094212945783725,0,0,0,0
1789484704.1018281,14.103503470444686,14.103503470444686,14.103503470444686,0,39.324989567747451,0.0048530540534362744,0,0,0,0
1789484704.126828,14.141525752878195,14.141525752878195,14.141525752878195,0,39.678050410086335,0.0048968045715672261,0,0,0,0
1789484704.1518278,14.179475535726553,14.179475535726553,14.179475535726553,0,40.032060897800001,0.0049406727676511121,0,0,0,0
1789484704.1768279,14.216950678682332,14.216950678682332,14.216950678682332,0,40.387017576801938,0.0049846582136651761,0,0,0,0
