throttle,speed_bin_mps,acceleration_mps2,acceleration_std_mps2,samples
0.5,6.5,3.6123339157803094,0.2971239812666355,8
0.5,7.0,3.347998611263271,0.31264496643637474,8
0.5,7.5,3.3274264218022136,0.19622351865144058,10
0.5,8.0,3.123608695634874,0.37890349223504355,9
0.5,8.5,2.8474373817020604,0.9048604310255381,11
0.5,9.0,2.952116410288018,0.3003153140285964,14
0.5,9.5,2.908268051566389,0.472451470057167,12
0.5,10.0,4.126186593201492,0.30128491148240216,7
0.5,10.5,5.145304186456735,0.24589778914852223,7
0.5,11.0,4.5012747882709725,0.6404044134928458,10
0.5,11.5,0.03372751661860558,0.8205427800271625,121
0.65,0.0,0.19320089978757501,2.2727912037377713,3
0.65,0.5,5.032344723453338,0.0,1
0.65,1.0,5.157825592459458,0.0,1
0.65,1.5,2.431850046181257,2.431850046181257,2
0.65,2.0,4.630734898357593,2.0488659437597994,4
0.65,2.5,4.50162050119647,0.19980865553531268,2
0.65,3.0,5.090513148407311,0.09215578041108584,3
0.65,3.5,3.989576393863639,1.9286585865077397,5
0.65,4.0,4.266216479757055,0.6437991457364167,6
0.65,4.5,3.778663391654262,0.46986328134518174,5
0.65,5.0,4.056778049625741,0.27242545445250915,4
0.65,5.5,4.054588229476468,0.4819205459930349,6
0.65,6.0,3.9239889851179393,1.36457797619428,8
0.65,6.5,3.594770036881599,0.5450409767549524,9
0.65,7.0,3.316056108070381,0.2161385823544616,9
0.65,7.5,3.1921612228934664,0.21873420466254062,7
0.65,8.0,3.3541255518360575,0.37926492318626787,10
0.65,8.5,3.0603299406118345,0.8424920634086622,14
0.65,9.0,2.7579697010246362,0.2532356114452587,13
0.65,9.5,2.7112730532809763,0.2986435865908022,14
0.65,10.0,2.541487477880591,0.3251482707875606,15
0.65,10.5,2.406600432057674,0.17271988282282558,16
0.65,11.0,2.331818913801049,0.25774733034110103,15
0.65,11.5,2.1833241896203806,0.5512943476582506,18
0.65,12.0,2.036196439939121,0.2907828141968234,24
