scan_index,scan_stamp_s,gt_x_m,gt_y_m,gt_yaw_rad,seed_x_m,seed_y_m,seed_yaw_rad,match_x_m,match_y_m,match_yaw_rad,seed_error_m,match_error_m,seed_yaw_error_rad,match_yaw_error_rad,match_score,score_margin,gt_score,seed_score,valid_beams
580,1788993899.1026042,-6.079873239508819,1.841482624505962,1.7023427263170279,-6.1252825192330755,1.9393870272474072,1.7023427263170279,-6.075282519233076,1.839387027247407,1.7023427263170279,0.10792254056143642,0.005046408675502174,0.0,0.0,0.9823168214070982,0.0007806695306199485,0.9876965380247481,0.8858694837009949,120
600,1788993900.1049612,-6.175591458562589,3.3120879497177182,1.5641296696325075,-6.220338971302166,3.393738112980759,1.5641296696325075,-6.170338971302166,3.343738112980759,1.5641296696325075,0.093107943040644,0.03208304002113954,0.0,0.0,0.9923442580951252,0.0022273523038779386,0.9899238903286258,0.8364423489433388,120
620,1788993901.1277795,-6.0221084601317845,4.8045794167595535,1.3593035187483986,-6.068780664776553,4.871487817771397,1.3593035187483986,-6.018780664776553,4.821487817771398,1.3593035187483986,0.08157835995142884,0.01723276665842221,0.0,0.0,0.9837878406720296,0.0030793548387509917,0.9744715771247949,0.720638791145259,120
640,1788993902.2040076,-5.49822917705497,6.230250285776284,1.0670964602336497,-5.550335738287227,6.284017986049716,1.0670964602336497,-5.475335738287228,6.234017986049716,1.0670964602336497,0.07487362229880815,0.023201403060219665,0.0,0.0,0.990542907058684,0.0,0.9481702260883538,0.5885455269709934,120
660,1788993903.4022567,-4.3728659440979065,7.367287705524829,0.471435952806432,-4.436277705111754,7.411624465720871,0.471435952806432,-4.311277705111754,7.386624465720871,0.44643595280643195,0.07737441269281937,0.06455247072184483,0.0,0.025000000000000078,0.9891918937813531,0.0067550663866543514,0.9396964434234844,0.7277971379719251,120
680,1788993904.5816755,-2.7646548634123915,7.566498272414058,-0.21742344637717914,-2.8406120706979574,7.6118719311785785,-0.21742344637717914,-2.6906120706979575,7.536871931178579,-0.24242344637717914,0.08847749006556187,0.07974995453261186,0.0,0.024999999999999994,0.9981986489635588,0.01035776845953651,0.9667688387073404,0.927736250896267,120
700,1788993905.7769072,-1.3354988590871397,6.775318795113819,-0.7515526674656958,-1.4237294167672006,6.829762580735162,-0.7515526674656957,-1.2737294167672004,6.704762580735162,-0.7765526674656957,0.10367621280369624,0.09377442824119643,1.1102230246251565e-16,0.02499999999999991,0.9905892248297903,0.007312308919552368,0.9308819878078415,0.8796971481520969,120
720,1788993906.9558837,-0.3001755698088385,5.395861218137289,-1.0649910853907891,-0.39934944674358996,5.4662240434136375,-1.0649910853907891,-0.29934944674359,5.391224043413638,-1.0649910853907891,0.1215992806193327,0.004710187760227629,0.0,0.0,0.9742339102170244,0.0031767008054458534,0.9728828969396933,0.6495053440789847,120
740,1788993908.130616,0.4001368759403852,3.821422270979051,-1.2239568996548789,0.2934505067000771,3.910173684113511,-1.2239568996548789,0.3934505067000771,3.910173684113511,-1.2239568996548789,0.13877605958897593,0.0890029261708927,0.0,0.0,0.9735709016065743,0.0007177140084808631,0.9792238760782455,0.4003735218413512,120
760,1788993909.305718,0.9044450566674938,2.170294223596985,-1.322735639346463,0.792951724363877,2.2754763175972963,-1.322735639346463,0.8929517243638769,2.3504763175972965,-1.322735639346463,0.15327764366160845,0.1805482862997553,0.0,0.0,0.9660911177579775,0.0001454708687192996,0.9701565338933581,0.3457354487983391,120
780,1788993910.4763894,1.2390522867174905,0.5020756133428406,-1.4185974540867141,1.1241762675491842,0.6258630576742066,-1.4185974540867141,1.2241762675491843,0.5258630576742066,-1.4185974540867141,0.16887815475675977,0.02805598784775989,0.0,0.0,0.9128150162226,0.002072181326366218,0.9280358001888405,0.3119043182033057,120
800,1788993911.6319127,1.3967565585625368,-1.2193331593319776,-1.5620544879458242,1.2805668295496904,-1.0779733369433582,-1.5620544879458242,1.4055668295496904,-1.177973336943358,-1.5620544879458242,0.18298265631971986,0.042287773444403966,0.0,0.0,0.9877619370045193,0.002770390536166234,0.9929354252483165,0.34189570853866336,120
820,1788993912.8265877,1.2816620820656053,-2.9182267614977806,-1.678066521648849,1.1672757982053747,-2.7585102146963263,-1.678066521648849,1.2672757982053748,-3.0085102146963263,-1.678066521648849,0.1964525318175726,0.09142246488014374,0.0,0.0,0.9990993244817794,0.000900675518220595,0.9753840493115528,0.34466566532286824,120
840,1788993914.0041285,1.0311649587183414,-4.664712833928576,-1.7448987415466573,0.9196572008579839,-4.485794442132599,-1.7448987415466573,1.0196572008579838,-4.735794442132599,-1.7448987415466573,0.21082165682373016,0.07200710739810985,0.0,0.0,0.9981986489635588,0.0004503377591102975,0.9790248912834217,0.38944874758315495,120
860,1788993915.2041209,0.6841673072205625,-6.420693539931642,-1.7909465413067331,0.5764645425788557,-6.223574675205251,-1.7909465413067331,0.6764645425788557,-6.473574675205251,-1.7909465413067331,0.22462353470304036,0.05343919021608864,0.0,0.0,0.9905429070586839,0.0004503377591101865,0.9679602007873462,0.40764288222845724,120
880,1788993916.3766875,0.2810754726676014,-8.07207112634752,-1.8502907583914685,0.17732838013799923,-7.858810984455527,-1.8502907583914685,0.2523283801379992,-8.158810984455528,-1.8502907583914685,0.23715679903418105,0.09137941952925055,0.0,0.0,0.9972979734453382,0.004503377591102864,0.9310081189038154,0.35107397897764936,120
900,1788993917.5296543,-0.3651068632364348,-9.552635194115478,-2.2097974548524997,-0.46351355660580873,-9.328915202927087,-2.2097974548524997,-0.41351355660580874,-9.628915202927086,-2.2347974548524996,0.2444064478634467,0.09034294497776561,0.0,0.02499999999999991,0.9909932448177943,0.0,0.9436393573274696,0.27968942024330107,120
920,1788993918.7019885,-1.6731377139181138,-10.107362454726458,2.9371704770313625,-1.7743763553249234,-9.887506290140212,2.9371704770313625,-1.7743763553249234,-10.087506290140212,2.8621704770313623,0.24204544123050672,0.10316748415064055,0.0,0.07500000000000018,0.9927945958542355,0.009644918847976913,0.7997047514060681,0.4991196705072209,120
940,1788993919.8786318,-2.7759786983524495,-9.046101123549304,1.9907111324544913,-2.8776344262179214,-8.834254776993824,1.9907111324544913,-2.7776344262179213,-9.034254776993823,1.9907111324544913,0.23497395931626922,0.01196149495159644,0.0,0.0,0.9884320476572138,0.0010171684206282672,0.9860638659592548,0.8393307412699432,120
960,1788993921.1014268,-3.15558628424005,-7.38428001081286,1.635307024025899,-3.2509298365514305,-7.205056035483448,1.635307024025899,-3.1759298365514304,-7.280056035483447,1.610307024025899,0.20300646861671845,0.10619085249734059,0.0,0.02499999999999991,0.979896453640599,0.0019700300073890453,0.9283621377602164,0.5019127010260237,120
980,1788993922.276846,-3.0476909513303196,-5.669986008275285,1.3862108531773654,-3.1447640641797396,-5.5076065843851545,1.3862108531773654,-2.9947640641797397,-5.557606584385154,1.3862108531773654,0.18918315607148262,0.12421912210818396,0.0,0.0,0.9787349427406967,0.000506945741336029,0.9118023730986926,0.22309344844428655,120
1000,1788993923.455798,-2.5933976153730858,-3.991611269158646,1.286610714014067,-2.6963272754836467,-3.8485385202354343,1.286610714014067,-2.5713272754836467,-3.9235385202354345,1.286610714014067,0.1762507486932181,0.0715611560051816,0.0,0.0,0.9977483112044485,0.001801351036441079,0.9891918937813531,0.24615311767385661,120
1020,1788993924.656623,-2.1110019938678417,-2.2721380927605472,1.312499550826157,-2.2188747729119727,-2.1471346865419263,1.312499550826157,-2.0938747729119727,-2.2221346865419265,1.312499550826157,0.16511325817438605,0.052855296150296625,0.0,0.0,0.9968476356862279,0.003554029089534949,0.990542907058684,0.2824094594813861,120
1040,1788993925.8267565,-1.7556223713064458,-0.8403578533843641,1.3427233650008787,-1.8669433313302242,-0.7295067257357598,1.3427233650008787,-1.6919433313302241,-0.5795067257357598,1.3427233650008787,0.157099741061476,0.26851132364919306,0.0,0.0,0.9941456091315662,0.000900675518220595,0.7813777196712844,0.16806867616646767,120
1060,1788993927.0017292,-1.3699160557529462,1.0714207002515281,1.4192732531629888,-1.48461829306448,1.1650630028367248,1.4192732531629888,-1.35961829306448,1.1150630028367248,1.4192732531629888,0.1480725635549306,0.04484076818393979,0.0,0.0,0.9954966224088971,0.001801351036441079,0.9687420276730786,0.38429733197956156,120
1080,1788993928.2018313,-1.509194713431147,3.2534284489809773,2.04589547369465,-1.6388162545783655,3.3282965542910308,2.04589547369465,-1.5638162545783654,3.3282965542910308,2.12089547369465,0.14968960258514064,0.09267548732008121,0.0,0.07500000000000018,0.9891918937813531,0.0038635374545640255,0.5481928513618433,0.6677387420412783,120
1100,1788993929.3573658,-3.0644973580859394,3.2059149400618443,-1.9171480843295414,-3.3016277140533186,3.263529738602623,-1.9171480843295414,-3.1016277140533184,3.088529738602623,-1.8671480843295414,0.24402924155131595,0.12311762203635297,0.0,0.050000000000000044,0.9842625149228136,0.0003286553007419979,0.7035003575776391,0.24670194383857147,120
1120,1788993930.528555,-3.710369732947619,0.1062508525532424,-2.1359322328550236,-3.933511180054828,0.2320132133404031,-2.1359322328550236,-3.758511180054828,0.13201321334040308,-2.1609322328550236,0.25614112674043454,0.054601265213399745,0.0,0.02499999999999991,0.9239656468864957,0.012621354569623655,0.6554167151599697,0.2085569974105967,120
1140,1788993931.6828191,-5.53227586396839,-0.00394783051022074,2.1759920482670148,-5.805043079717694,0.12212898591129355,2.1759920482670148,-5.580043079717694,0.022128985911293544,2.1259920482670145,0.3004951208033359,0.05442156975980973,0.0,0.050000000000000266,0.9950706211414604,0.0009250120098941439,0.7404227520783827,0.01998308214339242,120
1160,1788993932.8766632,-6.153151496893489,4.030686702931422,1.4761825983678403,-6.417052061151429,4.1440905943000175,1.4761825983678403,-6.117052061151429,4.244090594300017,1.4261825983678402,0.28723500899646465,0.21643564889397127,0.0,0.050000000000000044,0.9855891917084708,0.007940913778230252,0.6738301680474453,0.06310058476244523,120
1180,1788993934.0549557,-4.503068340709039,7.324194946078288,0.5207257711853406,-4.796579798929294,7.3725969916599325,0.5207257711853406,-4.396579798929293,7.3725969916599325,0.4707257711853406,0.2974756025677874,0.11697250765399592,0.0,0.04999999999999999,0.9986489867226691,0.016662497087080563,0.8885430892676702,0.3696276653066378,120
1200,1788993935.2295887,-0.8935245907479311,6.312594215989236,-0.9059225586599263,-1.1657652519332025,6.345614633226373,-0.9059225586599263,-0.8157652519332024,6.1956146332263735,-0.9309225586599263,0.2742358939984121,0.14046614380795536,0.0,0.025000000000000022,0.9823156533893358,0.009571760441953514,0.8896094470045277,0.2665163641275327,120
