bag_time,time,finite_count,min_finite,max_finite,angle_min,angle_max
1788882779.5004144,1788882779.452453,1043,0.6224762201309204,9.974190711975098,-2.3561899662017822,2.3561899662017822
1788882779.552586,1788882779.50265,1042,0.6261165738105774,9.931469917297363,-2.3561899662017822,2.3561899662017822
1788882779.6014714,1788882779.5527105,1042,0.6298338174819946,9.88260555267334,-2.3561899662017822,2.3561899662017822
1788882779.652047,1788882779.6026666,1043,0.6336259841918945,9.979778289794922,-2.3561899662017822,2.3561899662017822
1788882779.7006054,1788882779.6522224,1042,0.6374930739402771,9.938003540039062,-2.3561899662017822,2.3561899662017822
1788882779.7607071,1788882779.7028186,1042,0.6434080004692078,9.938735008239746,-2.3561899662017822,2.3561899662017822
1788882779.8259382,1788882779.7779558,1042,0.6474335193634033,9.894826889038086,-2.3561899662017822,2.3561899662017822
1788882779.8753488,1788882779.8281786,1043,0.651534914970398,9.983121871948242,-2.3561899662017822,2.3561899662017822
1788882779.926375,1788882779.877613,1043,0.6557040214538574,9.939458847045898,-2.3561899662017822,2.3561899662017822
1788882779.9764879,1788882779.9275737,1042,0.6599460244178772,9.896418571472168,-2.3561899662017822,2.3561899662017822
1788882780.0273833,1788882779.977713,1043,0.6642733812332153,9.987008094787598,-2.3561899662017822,2.3561899662017822
1788882780.0756218,1788882780.027525,1043,0.668684184551239,9.947290420532227,-2.3561899662017822,2.3561899662017822
1788882780.1252503,1788882780.077845,1042,0.6731668710708618,9.908199310302734,-2.3561899662017822,2.3561899662017822
1788882780.1762307,1788882780.1275454,1042,0.6777201890945435,9.869847297668457,-2.3561899662017822,2.3561899662017822
1788882780.2254663,1788882780.1774285,1043,0.6823402047157288,9.962361335754395,-2.3561899662017822,2.3561899662017822
1788882780.276933,1788882780.2277133,1043,0.686890721321106,9.904399871826172,-2.3561899662017822,2.3561899662017822
1788882780.3278317,1788882780.2781065,1043,0.6913735866546631,9.963744163513184,-2.3561899662017822,2.3561899662017822
1788882780.3761127,1788882780.3280401,1042,0.6959257125854492,9.892558097839355,-2.3561899662017822,2.3561899662017822
1788882780.425483,1788882780.3773363,1043,0.7005376815795898,9.95234489440918,-2.3561899662017822,2.3561899662017822
1788882780.4752016,1788882780.4276986,1042,0.7052143216133118,9.881914138793945,-2.3561899662017822,2.3561899662017822
1788882780.5252254,1788882780.4774306,1043,0.7100347876548767,9.954723358154297,-2.3561899662017822,2.3561899662017822
1788882780.5759168,1788882780.5274494,1043,0.7150977253913879,9.918444633483887,-2.3561899662017822,2.3561899662017822
1788882780.6273587,1788882780.5781987,1043,0.7202196717262268,9.882453918457031,-2.3561899662017822,2.3561899662017822
1788882780.6775417,1788882780.6274848,1043,0.72540682554245,9.976813316345215,-2.3561899662017822,2.3561899662017822
1788882780.726314,1788882780.6777227,1043,0.7306572198867798,9.940921783447266,-2.3561899662017822,2.3561899662017822
1788882780.7757123,1788882780.7275455,1043,0.7359678745269775,9.905597686767578,-2.3561899662017822,2.3561899662017822
1788882780.8263898,1788882780.777966,1043,0.7413417100906372,9.87089729309082,-2.3561899662017822,2.3561899662017822
1788882780.8767161,1788882780.827707,1043,0.7467749118804932,9.965670585632324,-2.3561899662017822,2.3561899662017822
1788882780.9291477,1788882780.8779285,1043,0.752268373966217,9.9310941696167,-2.3561899662017822,2.3561899662017822
1788882780.9775374,1788882780.9293292,1043,0.7578232884407043,9.8970947265625,-2.3561899662017822,2.3561899662017822
1788882781.0266328,1788882780.977686,1043,0.7621775269508362,9.941628456115723,-2.3561899662017822,2.3561899662017822
1788882781.0781856,1788882781.027856,1044,0.7642784118652344,9.988138198852539,-2.3561899662017822,2.3561899662017822
1788882781.128539,1788882781.0784554,1043,0.7663692235946655,9.903754234313965,-2.3561899662017822,2.3561899662017822
1788882781.1773367,1788882781.1286018,1043,0.7684469819068909,9.94885540008545,-2.3561899662017822,2.3561899662017822
1788882781.2256706,1788882781.1774836,1044,0.7705107927322388,9.994412422180176,-2.3561899662017822,2.3561899662017822
1788882781.275657,1788882781.2278612,1043,0.7724397778511047,9.893584251403809,-2.3561899662017822,2.3561899662017822
1788882781.3264208,1788882781.27789,1044,0.7734788060188293,9.954151153564453,-2.3561899662017822,2.3561899662017822
1788882781.3773503,1788882781.3276439,1043,0.7734060883522034,9.905596733093262,-2.3561899662017822,2.3561899662017822
1788882781.4252875,1788882781.3775039,1043,0.7726948857307434,9.938411712646484,-2.3561899662017822,2.3561899662017822
1788882781.4766366,1788882781.427508,1044,0.7718939185142517,9.971781730651855,-2.3561899662017822,2.3561899662017822
1788882781.5268476,1788882781.4778466,1043,0.7710084915161133,9.87460994720459,-2.3561899662017822,2.3561899662017822
1788882781.5764694,1788882781.5281005,1043,0.7700415253639221,9.907018661499023,-2.3561899662017822,2.3561899662017822
1788882781.6263256,1788882781.5777106,1044,0.7689924240112305,9.939506530761719,-2.3561899662017822,2.3561899662017822
1788882781.6755936,1788882781.6275403,1044,0.7678573131561279,9.972014427185059,-2.3561899662017822,2.3561899662017822
1788882781.726674,1788882781.6778438,1043,0.7666388750076294,9.873433113098145,-2.3561899662017822,2.3561899662017822
1788882781.7750592,1788882781.7279162,1043,0.7653357982635498,9.904909133911133,-2.3561899662017822,2.3561899662017822
1788882781.8245974,1788882781.7773461,1044,0.7639452815055847,9.936494827270508,-2.3561899662017822,2.3561899662017822
1788882781.875586,1788882781.8278294,1044,0.762471079826355,9.96817684173584,-2.3561899662017822,2.3561899662017822
1788882781.9266355,1788882781.8778052,1044,0.7609130144119263,9.999971389770508,-2.3561899662017822,2.3561899662017822
1788882781.9778712,1788882781.9279082,1043,0.759268581867218,9.898950576782227,-2.3561899662017822,2.3561899662017822
1788882782.0277283,1788882781.9780192,1044,0.7575424909591675,9.9297513961792,-2.3561899662017822,2.3561899662017822
1788882782.077296,1788882782.0278776,1044,0.7557302117347717,9.960698127746582,-2.3561899662017822,2.3561899662017822
1788882782.1266048,1788882782.0774364,1044,0.7538325786590576,9.99182415008545,-2.3561899662017822,2.3561899662017822
1788882782.176411,1788882782.1278281,1043,0.7518525123596191,9.889238357543945,-2.3561899662017822,2.3561899662017822
1788882782.2258093,1788882782.177581,1044,0.7497866153717041,9.919267654418945,-2.3561899662017822,2.3561899662017822
1788882782.2779233,1788882782.228041,1044,0.7476357817649841,9.949372291564941,-2.3561899662017822,2.3561899662017822
1788882782.3272274,1788882782.278107,1044,0.7454041838645935,9.97964096069336,-2.3561899662017822,2.3561899662017822
1788882782.3753674,1788882782.3273656,1043,0.74308842420578,9.875845909118652,-2.3561899662017822,2.3561899662017822
1788882782.425229,1788882782.3775568,1044,0.7406889200210571,9.905101776123047,-2.3561899662017822,2.3561899662017822
