run,source_time_s,segment_id,dt_s,u_mps,v_mps,r_radps,wheel_mps,steering_rad,throttle_norm,steering_target_rad,steering_rate_radps,model_steering_rate_radps,wheel_rate_mps2,model_wheel_rate_mps2,front_slip_angle_rad,rear_slip_angle_rad,measured_du_mps2,model_du_mps2,residual_du_mps2,measured_dv_mps2,model_dv_mps2,residual_dv_mps2,measured_dr_radps2,model_dr_radps2,residual_dr_radps2
01_longitudinal_throttle_from_rest_40hz_20260913,7.116,1,0.02600000000000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.142,1,0.02500028999999948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.16700029,1,0.024000169999999876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.19100046,1,0.026000020000000568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.21700048,1,0.023999519999999386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.241,1,0.02600000000000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.267,1,0.02400036999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.29100037,1,0.02500008999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.31600046,1,0.025000100000000636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.34100056,1,0.02600001999999968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.36700058,1,0.02399969000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.3750177606460676,0.0,1.3750177606460676,0.008333440973612532,0.0,0.008333440973612532,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.39100027,1,0.025000099999999748,0.033,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039999997866666876,-0.00039999997866666876,-1.1039955840176752,-5.473765128509619,4.369769544491944,-0.007999968000128081,-0.8635867974903619,0.8555868294902339,0.0,1.1775700582902027,-1.1775700582902027
01_longitudinal_throttle_from_rest_40hz_20260913,7.41600037,1,0.02500008999999981,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.09999964000129678,-5.466230328509619,5.366230688508322,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.44100046,1,0.025000100000000636,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.015999936000255583,-5.465547828509619,5.449547892509363,0.0,0.0,0.0,0.0,0.0,0.0
