stamp_s,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad
1789473786.2924783,114.7925,114.8121,0.6038,-0.3085,-0.1069,-0.12954647587833157
1789473786.3164785,115.9477,115.9673,0.3957,-0.2717,-0.0987,-0.13197115286982886
1789473786.3414783,117.1618,117.1749,0.5461,-0.3259,-0.1123,-0.13469975968100445
1789473786.366477,118.3759,118.389,0.3508,-0.2575,-0.0953,-0.13712642706080236
1789473786.392479,119.6489,119.6587,0.5072,-0.3039,-0.1046,-0.1398655304594172
1789473786.4174783,120.8728,120.8826,0.3289,-0.2689,-0.0962,-0.14231950835716223
1789473786.442478,122.1065,122.1131,0.5024,-0.1999,-0.0746,-0.14415469384433144
1789473786.466478,123.301,123.3075,0.624,-0.2468,-0.084,-0.1462897216996329
1789473786.4924767,124.5969,124.6001,0.3972,-0.2291,-0.0799,-0.1484087298461525
1789473786.5164769,125.8012,125.8044,0.554,-0.2993,-0.0983,-0.1505747300168252
1789473786.5414789,127.0578,127.0578,0.3588,-0.3402,-0.1122,-0.15333129519647576
1789473786.5664785,128.3242,128.3242,0.5216,-0.2503,-0.0901,-0.15577958380692625
1789473786.591478,129.5907,129.5874,0.3399,-0.3292,-0.1087,-0.1582584854608151
1789473786.617477,130.9193,130.9161,0.4981,-0.207,-0.0772,-0.16043647506760994
1789473786.6414769,132.1531,132.1498,0.6195,-0.2804,-0.0914,-0.1625887362611793
1789473786.6674783,133.4948,133.4882,0.3994,-0.2764,-0.0919,-0.16505195520476001
1789473786.6914785,134.7383,134.7318,0.555,-0.2609,-0.0877,-0.16721264006500763
1789473786.716478,136.0375,136.0277,0.3622,-0.3527,-0.1113,-0.16971062896475275
1789473786.741477,137.3465,137.3367,0.5179,-0.3779,-0.1212,-0.17279328687960221
1789473786.7664769,138.6653,138.6522,0.623,-0.3734,-0.1219,-0.1759069363536272
1789473786.7924783,140.0398,140.0234,0.4031,-0.3756,-0.1224,-0.1790254265580728
1789473786.8164785,141.3161,141.2964,0.557,-0.2503,-0.0897,-0.18122393445746732
1789473786.8414783,142.6479,142.6283,0.3697,-0.1326,-0.052,-0.18278327001329342
