bag_time,time,value
1788892291.071361,1788892291.071361,"{""packet_sequence"":880,""bridge_arrival_monotonic_ns"":14993209708736,""request_monotonic_ns"":14993160501746,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.1217594,1788892291.1217594,"{""packet_sequence"":881,""bridge_arrival_monotonic_ns"":14993260104066,""request_monotonic_ns"":14993211613434,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.171865,1788892291.171865,"{""packet_sequence"":882,""bridge_arrival_monotonic_ns"":14993310238844,""request_monotonic_ns"":14993262031507,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.2227259,1788892291.2227259,"{""packet_sequence"":883,""bridge_arrival_monotonic_ns"":14993361095132,""request_monotonic_ns"":14993312442956,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.276085,1788892291.276085,"{""packet_sequence"":884,""bridge_arrival_monotonic_ns"":14993414323709,""request_monotonic_ns"":14993363264489,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.3467712,1788892291.3467712,"{""packet_sequence"":885,""bridge_arrival_monotonic_ns"":14993485067212,""request_monotonic_ns"":14993435142319,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.3985004,1788892291.3985004,"{""packet_sequence"":886,""bridge_arrival_monotonic_ns"":14993536715461,""request_monotonic_ns"":14993487290931,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.4504132,1788892291.4504132,"{""packet_sequence"":887,""bridge_arrival_monotonic_ns"":14993588731514,""request_monotonic_ns"":14993539357699,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.5218039,1788892291.5218039,"{""packet_sequence"":888,""bridge_arrival_monotonic_ns"":14993660191928,""request_monotonic_ns"":14993610912681,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.5719059,1788892291.5719059,"{""packet_sequence"":889,""bridge_arrival_monotonic_ns"":14993710264609,""request_monotonic_ns"":14993661982872,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.6230865,1788892291.6230865,"{""packet_sequence"":890,""bridge_arrival_monotonic_ns"":14993761305765,""request_monotonic_ns"":14993712450718,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.6737025,1788892291.6737025,"{""packet_sequence"":891,""bridge_arrival_monotonic_ns"":14993812008884,""request_monotonic_ns"":14993763815944,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.7272933,1788892291.7272933,"{""packet_sequence"":892,""bridge_arrival_monotonic_ns"":14993865640360,""request_monotonic_ns"":14993814574929,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.7961206,1788892291.7961206,"{""packet_sequence"":893,""bridge_arrival_monotonic_ns"":14993934514642,""request_monotonic_ns"":14993886013992,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.847071,1788892291.847071,"{""packet_sequence"":894,""bridge_arrival_monotonic_ns"":14993985406597,""request_monotonic_ns"":14993936303933,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.897234,1788892291.897234,"{""packet_sequence"":895,""bridge_arrival_monotonic_ns"":14994035571652,""request_monotonic_ns"":14993987618504,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.9468865,1788892291.9468865,"{""packet_sequence"":896,""bridge_arrival_monotonic_ns"":14994085257836,""request_monotonic_ns"":14994038053047,""simulation_time_s"":null,""simulation_frame"":null}"
1788892291.9987488,1788892291.9987488,"{""packet_sequence"":897,""bridge_arrival_monotonic_ns"":14994137074322,""request_monotonic_ns"":14994087091380,""simulation_time_s"":null,""simulation_frame"":null}"
1788892292.0488038,1788892292.0488038,"{""packet_sequence"":898,""bridge_arrival_monotonic_ns"":14994187104253,""request_monotonic_ns"":14994139456009,""simulation_time_s"":null,""simulation_frame"":null}"
1788892292.0989366,1788892292.0989366,"{""packet_sequence"":899,""bridge_arrival_monotonic_ns"":14994237251685,""request_monotonic_ns"":14994189233594,""simulation_time_s"":null,""simulation_frame"":null}"
