simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,throttle_k_norm,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps,steering_k1_rad,throttle_k1_norm
1.955,1.98100007,1956.0,1982.0,26.0,0.02600006999999982,0.793,0.7596,-0.1279288837874919,-0.0846,-0.0455,0.0112,0.0,0.8462,0.7822,-0.03576126799540358,-0.3323,-0.0563,6.7311,0.0,0.0
1.98100007,2.006,1982.0,2007.0,25.0,0.024999929999999893,0.8462,0.7822,-0.03576126799540358,-0.3323,-0.0563,6.7311,0.0,0.8261,0.8937,0.13813167721614317,-0.3197,0.0036,6.2069,0.0,0.0
2.006,2.03100014,2007.0,2032.0,25.0,0.025000140000000393,0.8261,0.8937,0.13813167721614317,-0.3197,0.0036,6.2069,0.0,0.789,1.0293,0.3002999988948858,-0.2986,0.1092,4.9013,0.0,0.0
2.03100014,2.055,2032.0,2056.0,24.0,0.023999859999999984,0.789,1.0293,0.3002999988948858,-0.2986,0.1092,4.9013,0.0,0.7325,1.162,0.4602670733969223,-0.27,0.2082,6.8685,0.0,0.0
2.055,2.08000016,2056.0,2081.0,25.0,0.025000159999999827,0.7325,1.162,0.4602670733969223,-0.27,0.2082,6.8685,0.0,0.6528,1.294,0.6231990038557917,-0.2312,0.2896,4.7485,0.0,0.0
2.08000016,2.10600019,2081.0,2107.0,26.0,0.026000030000000063,0.6528,1.294,0.6231990038557917,-0.2312,0.2896,4.7485,0.0,0.5472,1.4168,0.7947388065349008,-0.1916,0.35,5.7392,0.0,0.0
2.10600019,2.131,2107.0,2132.0,25.0,0.024999809999999734,0.5472,1.4168,0.7947388065349008,-0.1916,0.35,5.7392,0.0,0.4225,1.5157,0.9517836644215718,-0.1579,0.3993,4.8881,0.0,0.0
2.131,2.15600014,2132.0,2157.0,25.0,0.025000140000000393,0.4225,1.5157,0.9517836644215718,-0.1579,0.3993,4.8881,0.0,0.2885,1.5917,1.115771038268528,-0.1053,0.4203,6.7048,0.0,0.0
2.15600014,2.181,2157.0,2182.0,25.0,0.024999859999999874,0.2885,1.5917,1.115771038268528,-0.1053,0.4203,6.7048,0.0,0.148,1.6414,1.2753843319818285,-0.0489,0.4253,6.6573,0.0,0.0
2.181,2.206,2182.0,2207.0,25.0,0.02499999999999991,0.148,1.6414,1.2753843319818285,-0.0489,0.4253,6.6573,0.0,0.0334,1.651,1.3744350314759108,-0.0015,0.4201,0.6668,0.0,0.0
